# PIMCID: 87437669-f53b-446c-ab41-61adfafbde24
#           K_op            K_cv            V_op            V_cv               E            E_mu          K_op/N          K_cv/N          V_op/N          V_cv/N             E/N     EEcv*Beta^2        Ecv*Beta            dEdB          CvCov1          CvCov2          CvCov3            E_th               P
  7.22133137E+01 -1.49171116E-01  3.55285848E+00  3.55253674E+00  3.40336563E+00  3.18336563E+00 -7.47464279E-02 -7.45855581E-02  1.77642924E+00  1.77626837E+00  1.70168281E+00  5.34177341E+01  2.26891042E+00  6.66015343E+01  3.42651197E+02  0.00000000E+00  3.12313952E+03  6.59898266E+00  1.27017516E-01
  1.37126931E+01  1.49901753E+00  8.27835664E-01  8.27617779E-01  2.32663531E+00  2.10663531E+00  7.49399821E-01  7.49508764E-01  4.13917832E-01  4.13808890E-01  1.16331765E+00  7.88883784E+01  1.55109020E+00  6.44039520E+01  7.20852327E+01  0.00000000E+00  5.17970912E+03  1.46231437E+00  2.20887150E-02
  2.35971252E+01  1.12673779E+00  1.10744686E+00  1.10743933E+00  2.23417711E+00  2.01417711E+00  5.63365124E-01  5.63368893E-01  5.53723431E-01  5.53719663E-01  1.11708856E+00  6.49782186E+01  1.48945141E+00  6.49003495E+01  2.06554348E+02  0.00000000E+00  4.00080715E+03  1.07009961E+00 -5.91060120E-02
 -5.52396172E+01 -9.38490671E-01  1.37291850E+00  1.37262332E+00  4.34132648E-01  2.14132648E-01 -4.69392925E-01 -4.69245335E-01  6.86459249E-01  6.86311659E-01  2.17066324E-01  7.39157631E+01  2.89421765E-01  6.76539649E+01 -7.91078934E+01  0.00000000E+00  5.19705490E+03  4.18901371E+00  2.13007781E-01
 -6.40275926E+01 -4.27159418E-01  7.32425562E-01  7.32268446E-01  3.05109028E-01  8.51090280E-02 -2.13658267E-01 -2.13579709E-01  3.66212781E-01  3.66134223E-01  1.52554514E-01  6.73406383E+01  2.03406019E-01  6.69722089E+01  2.91259364E+01  0.00000000E+00  4.48015479E+03 -2.43110158E+00 -3.52950474E-01
 -1.77353043E+02 -2.79243839E+00  4.63794628E-01  4.63881474E-01 -2.32855691E+00 -2.54855691E+00 -1.39617577E+00 -1.39621919E+00  2.31897314E-01  2.31940737E-01 -1.16427846E+00  6.10677380E+01 -1.55237127E+00  7.01260018E+01 -3.44678698E+02  0.00000000E+00  4.77941212E+03 -8.58662182E+00 -9.28244434E-01
 -2.34542006E+01  7.73390848E-01  5.80726356E-01  5.80745111E-01  1.35413596E+00  1.13413596E+00  3.86704802E-01  3.86695424E-01  2.90363178E-01  2.90372556E-01  6.77067980E-01  7.53821083E+01  9.02757306E-01  6.53714633E+01  1.19814301E+02  0.00000000E+00  4.81860687E+03  5.70888440E+00  4.83776634E-01
 -1.31276516E+02 -1.35392295E+00  5.34309394E-01  5.34306946E-01 -8.19615999E-01 -1.03961600E+00 -6.76962697E-01 -6.76961473E-01  2.67154697E-01  2.67153473E-01 -4.09808000E-01  7.37757908E+01 -5.46410666E-01  6.82079522E+01 -1.56849885E+02  0.00000000E+00  5.26880806E+03  2.60741348E-01 -5.40719430E-02
 -2.94549294E+00 -5.80553143E-01  2.20230301E+00  2.20252661E+00  1.62197347E+00  1.40197347E+00 -2.90164771E-01 -2.90276572E-01  1.10115151E+00  1.10126331E+00  8.10986734E-01  5.21674768E+01  1.08131565E+00  6.71767956E+01  3.08939148E+01  0.00000000E+00  3.55380037E+03  1.11738799E+00 -2.18640340E-01
  2.13449447E+02  4.22043388E+00  2.26954688E+00  2.26965302E+00  6.49008690E+00  6.27008690E+00  2.11027001E+00  2.11021694E+00  1.13477344E+00  1.13482651E+00  3.24504345E+00  7.64765132E+01  4.32672460E+00  6.07753761E+01  6.67434921E+02  0.00000000E+00  3.93910787E+03  8.00203929E+00  4.59755823E-01
