# PIMCID: 712e5331-04a7-4578-9c13-4cb3cb39a2fd
#           K_op            K_cv            V_op            V_cv               E            E_mu          K_op/N          K_cv/N          V_op/N          V_cv/N             E/N     EEcv*Beta^2        Ecv*Beta            dEdB          CvCov1          CvCov2          CvCov3            E_th               P
  5.12699940E+01  4.04235458E+00  1.50251552E+00  1.50231455E+00  5.54466914E+00  5.32466914E+00  2.02107681E+00  2.02117729E+00  7.51257762E-01  7.51157276E-01  2.77233457E+00  3.09846733E+01  2.21786765E+00  3.67676734E+01  1.40318066E+02  0.00000000E+00  9.95653410E+02  2.70802815E+00  4.54555323E-02
  1.64188577E+01  3.20702350E+00  6.32173127E-01  6.32057649E-01  3.83908115E+00  3.61908115E+00  1.60345401E+00  1.60351175E+00  3.16086564E-01  3.16028824E-01  1.91954058E+00  3.84949206E+01  1.53563246E+00  3.74359335E+01  1.48923595E+02  0.00000000E+00  1.26109883E+03  6.15777662E+00  5.20968973E-01
  4.73036999E+01  3.34516842E+00  2.14245562E+00  2.14195401E+00  5.48712243E+00  5.26712243E+00  1.67233340E+00  1.67258421E+00  1.07122781E+00  1.07097700E+00  2.74356121E+00  4.47365038E+01  2.19484897E+00  3.73253936E+01  2.47025519E+02  0.00000000E+00  1.37322828E+03  6.38625915E+00  3.17332671E-01
  3.62042096E+01  3.97023356E+00  1.02473060E+00  1.02457188E+00  4.99480544E+00  4.77480544E+00  1.98503742E+00  1.98511678E+00  5.12365300E-01  5.12285939E-01  2.49740272E+00  4.11790555E+01  1.99792218E+00  3.68253611E+01  1.68337790E+02  0.00000000E+00  1.33753085E+03  4.65837824E+00  3.12151974E-01
  3.94529274E+01  3.41522490E+00  1.97251289E+00  1.97233445E+00  5.38755934E+00  5.16755934E+00  1.70752322E+00  1.70761245E+00  9.86256447E-01  9.86167224E-01  2.69377967E+00  4.47089207E+01  2.15502374E+00  3.72693701E+01  1.82833556E+02  0.00000000E+00  1.49890292E+03  6.18297761E+00  3.22447462E-01
  3.51488941E+01  2.18871035E+00  3.21753481E+00  3.21706001E+00  5.40577036E+00  5.18577036E+00  1.09411777E+00  1.09435517E+00  1.60876741E+00  1.60853001E+00  2.70288518E+00  5.45001110E+01  2.16230814E+00  3.82505736E+01  3.14304246E+02  0.00000000E+00  1.69406670E+03  8.90378023E+00  4.07818806E-01
  2.12019445E+01  3.02088686E+00  1.73366633E+00  1.73353942E+00  4.75442628E+00  4.53442628E+00  1.51037997E+00  1.51044343E+00  8.66833165E-01  8.66769710E-01  2.37721314E+00  4.75531121E+01  1.90177051E+00  3.75848580E+01  1.33786341E+02  0.00000000E+00  1.70268662E+03  6.45800964E+00  3.85769935E-01
  7.36569063E+01  2.67965344E+00  4.35159924E+00  4.35133713E+00  7.03099057E+00  6.81099057E+00  1.33969566E+00  1.33982672E+00  2.17579962E+00  2.17566856E+00  3.51549528E+00  4.85483064E+01  2.81239623E+00  3.78578302E+01  2.88136232E+02  0.00000000E+00  1.56077092E+03  1.06121231E+01  4.08511451E-01
  2.35425160E+01  1.45212714E+00  3.11934130E+00  3.11961386E+00  4.57174100E+00  4.35174100E+00  7.26199853E-01  7.26063571E-01  1.55967065E+00  1.55980693E+00  2.28587050E+00  4.36294660E+01  1.82869640E+00  3.88399132E+01  1.66788673E+02  0.00000000E+00  1.52431833E+03  3.92940242E+00 -7.50020452E-02
  4.32092241E+00  2.06238413E+00  6.05667664E-01  6.05516187E-01  2.66790032E+00  2.44790032E+00  1.03111633E+00  1.03119206E+00  3.02833832E-01  3.02758093E-01  1.33395016E+00  3.64236554E+01  1.06716013E+00  3.83516713E+01  7.42154017E+01  0.00000000E+00  1.32701663E+03  3.29737966E-01 -5.78536718E-02
