# PIMCID: 850b4434-a518-4439-bf93-f9b5d39fb71c
#           K_op            K_cv            V_op            V_cv               E            E_mu          K_op/N          K_cv/N          V_op/N          V_cv/N             E/N     EEcv*Beta^2        Ecv*Beta            dEdB          CvCov1          CvCov2          CvCov3            E_th               P
  2.07604661E+01  3.96712605E+00  2.34022432E+00  2.34063823E+00  6.30776428E+00  6.08776428E+00  1.98376998E+00  1.98356303E+00  1.17011216E+00  1.17031911E+00  3.15388214E+00  2.65388452E+01  1.80221836E+00  2.61342269E+01  8.21839588E+01  0.00000000E+00  6.25631816E+02  4.35456484E+00  8.43605923E-02
  5.18994818E+01  4.39114067E+00  6.29681749E+00  6.29686117E+00  1.06880018E+01  1.04680018E+01  2.19559217E+00  2.19557034E+00  3.14840875E+00  3.14843058E+00  5.34400092E+00  3.84733518E+01  3.05371481E+00  2.58919063E+01  2.54301451E+02  0.00000000E+00  7.53449791E+02  1.17419673E+01  2.29667132E-01
  3.34867896E+01  3.90477073E+00  4.34780503E+00  4.34793703E+00  8.25270776E+00  8.03270776E+00  1.95245137E+00  1.95238537E+00  2.17390251E+00  2.17396851E+00  4.12635388E+00  3.84012641E+01  2.35791650E+00  2.61698399E+01  1.77444353E+02  0.00000000E+00  8.38385181E+02  7.54397828E+00  1.02206980E-01
 -1.06273752E+00  2.36800266E+00  2.47206687E+00  2.47193738E+00  4.83994004E+00  4.61994004E+00  1.18393658E+00  1.18400133E+00  1.23603344E+00  1.23596869E+00  2.41997002E+00  3.77121043E+01  1.38284001E+00  2.70479801E+01  9.11644670E+01  0.00000000E+00  9.55828704E+02  6.72375621E+00  3.01584847E-01
  1.85504788E+01  2.90280240E+00  3.21975974E+00  3.22000839E+00  6.12281078E+00  5.90281078E+00  1.45152552E+00  1.45140120E+00  1.60987987E+00  1.61000419E+00  3.06140539E+00  3.37345554E+01  1.74937451E+00  2.67424000E+01  1.00347425E+02  0.00000000E+00  8.32555875E+02  7.01793991E+00  2.18792515E-01
  3.56055400E+01  3.80626044E+00  4.30379462E+00  4.30364257E+00  8.10990301E+00  7.88990301E+00  1.90305420E+00  1.90313022E+00  2.15189731E+00  2.15182128E+00  4.05495151E+00  2.99680024E+01  2.31711515E+00  2.62261165E+01  1.59902087E+02  0.00000000E+00  6.11822591E+02  7.09777468E+00  6.42307927E-02
  2.40210155E+01  3.46569720E+00  3.72898448E+00  3.72950065E+00  7.19519785E+00  6.97519785E+00  1.73310669E+00  1.73284860E+00  1.86449224E+00  1.86475032E+00  3.59759893E+00  3.46031758E+01  2.05577081E+00  2.64207712E+01  1.55142278E+02  0.00000000E+00  7.64110618E+02  7.28644479E+00  1.69219130E-01
  1.19695550E+01  2.46119196E+00  2.95270291E+00  2.95279514E+00  5.41398709E+00  5.19398709E+00  1.23064209E+00  1.23059598E+00  1.47635146E+00  1.47639757E+00  2.70699355E+00  3.37869304E+01  1.54685346E+00  2.69947498E+01  7.17491243E+01  0.00000000E+00  8.82893306E+02  5.78334018E+00  1.35414548E-01
  1.91284751E+01  3.20954672E+00  2.74963112E+00  2.74950666E+00  5.95905338E+00  5.73905338E+00  1.60471113E+00  1.60477336E+00  1.37481556E+00  1.37475333E+00  2.97952669E+00  3.00163007E+01  1.70258668E+00  2.65670907E+01  1.20417650E+02  0.00000000E+00  6.69858916E+02  6.42696850E+00  2.30270665E-01
 -7.03474948E+00  1.83981869E+00  1.19423442E+00  1.19402816E+00  3.03384686E+00  2.81384686E+00  9.19806220E-01  9.19909347E-01  5.97117210E-01  5.97014082E-01  1.51692343E+00  2.95103062E+01  8.66813388E-01  2.73498045E+01  9.81821035E+00  0.00000000E+00  8.40421340E+02  6.38135822E-01 -1.15290723E-01
