# PIMCID: 58e71396-6233-4dae-896e-9353ca8e1ea1
#           K_op            K_cv            V_op            V_cv               E            E_mu          K_op/N          K_cv/N          V_op/N          V_cv/N             E/N     EEcv*Beta^2        Ecv*Beta            dEdB          CvCov1          CvCov2          CvCov3            E_th               P
  2.25405110E+01  4.57246485E+00  3.11995798E+00  3.11935155E+00  7.69181640E+00  7.47181640E+00  2.28592921E+00  2.28623243E+00  1.55997899E+00  1.55967578E+00  3.84590820E+00  2.45337633E+01  1.92295410E+00  2.25147250E+01  7.68627991E+01  0.00000000E+00  4.94117435E+02  5.65947744E+00  9.80447996E-02
  5.62849132E+00  1.56673617E+00  4.57480014E+00  4.57562204E+00  6.14235821E+00  5.92235821E+00  7.83779035E-01  7.83368084E-01  2.28740007E+00  2.28781102E+00  3.07117911E+00  3.10333509E+01  1.53558955E+00  2.40176820E+01  3.62790152E+01  0.00000000E+00  7.72005197E+02  4.71877025E+00 -2.14466592E-01
  1.30779345E+01  4.20729800E+00  2.57460384E+00  2.57396160E+00  6.78125960E+00  6.56125960E+00  2.10332788E+00  2.10364900E+00  1.28730192E+00  1.28698080E+00  3.39062980E+00  3.06877138E+01  1.69531490E+00  2.26972974E+01  8.75927178E+01  0.00000000E+00  6.44488022E+02  8.04847849E+00  4.18753435E-01
  3.36328755E+01  5.32112467E+00  4.57259459E+00  4.57327415E+00  9.89439882E+00  9.67439882E+00  2.66090211E+00  2.66056234E+00  2.28629730E+00  2.28663707E+00  4.94719941E+00  3.18747441E+01  2.47359970E+00  2.21404549E+01  1.56967817E+02  0.00000000E+00  5.96141283E+02  9.69731070E+00  2.83739638E-01
  3.62590178E+01  6.01745484E+00  4.16261250E+00  4.16235946E+00  1.01798143E+01  9.95981430E+00  3.00860090E+00  3.00872742E+00  2.08130625E+00  2.08117973E+00  5.08990715E+00  2.82437266E+01  2.54495357E+00  2.17922353E+01  1.41745369E+02  0.00000000E+00  4.77380095E+02  9.23749958E+00  2.99395756E-01
  2.56287215E+01  3.79378352E+00  4.91659325E+00  4.91571730E+00  8.70950082E+00  8.48950082E+00  1.89645378E+00  1.89689176E+00  2.45829663E+00  2.45785865E+00  4.35475041E+00  3.03352514E+01  2.17737520E+00  2.29040542E+01  1.50607210E+02  0.00000000E+00  5.31806074E+02  1.13450832E+01  3.97150390E-01
  9.60996420E+00  3.01353912E+00  3.22060512E+00  3.22087216E+00  6.23441128E+00  6.01441128E+00  1.50690308E+00  1.50676956E+00  1.61030256E+00  1.61043608E+00  3.11720564E+00  2.65751508E+01  1.55860282E+00  2.32942338E+01  7.85782252E+01  0.00000000E+00  5.42204218E+02  4.23345383E+00 -5.97856592E-02
  1.98707013E+01  3.98539001E+00  3.08305548E+00  3.08242414E+00  7.06781416E+00  6.84781416E+00  1.99237934E+00  1.99269501E+00  1.54152774E+00  1.54121207E+00  3.53390708E+00  2.64829907E+01  1.76695354E+00  2.28082584E+01  9.78167499E+01  0.00000000E+00  5.08604282E+02  7.82153240E+00  3.19789410E-01
  1.34043017E+01  3.70915746E+00  2.80394151E+00  2.80382720E+00  6.51298466E+00  6.29298466E+00  1.85452157E+00  1.85457873E+00  1.40197075E+00  1.40191360E+00  3.25649233E+00  2.44243051E+01  1.62824616E+00  2.29464050E+01  5.74017220E+01  0.00000000E+00  5.25527859E+02  4.67933726E+00  4.73594563E-02
  2.18260505E+01  4.64397177E+00  3.39375299E+00  3.39345675E+00  8.03742852E+00  7.81742852E+00  2.32183776E+00  2.32198589E+00  1.69687649E+00  1.69672837E+00  4.01871426E+00  2.77404147E+01  2.00935713E+00  2.24789859E+01  8.79752030E+01  0.00000000E+00  5.75994905E+02  8.58282935E+00  3.49264193E-01
  2.25305092E+01  4.07580817E+00  4.30956076E+00  4.30938452E+00  8.38519269E+00  8.16519269E+00  2.03781597E+00  2.03790408E+00  2.15478038E+00  2.15469226E+00  4.19259635E+00  3.01354121E+01  2.09629817E+00  2.27630795E+01  1.08641348E+02  0.00000000E+00  6.10040119E+02  8.63893622E+00  2.17485651E-01
