# PIMCID: fd043fa2-d125-4421-ab0d-ad4d7578cd0f
#           K_op            K_cv            V_op            V_cv               E            E_mu          K_op/N          K_cv/N          V_op/N          V_cv/N             E/N     EEcv*Beta^2        Ecv*Beta            dEdB          CvCov1          CvCov2          CvCov3            E_th               P
  1.71632780E+01  5.58839865E+00  7.05622692E+00  7.05624546E+00  1.26446441E+01  1.24246441E+01  2.79420859E+00  2.79419932E+00  3.52811346E+00  3.52812273E+00  6.32232205E+00  2.42433650E+01  2.10744068E+00  1.45378572E+01  7.81366321E+01  0.00000000E+00  3.03664223E+02  1.40401826E+01  3.45580957E-01
  2.18717400E+01  5.69257362E+00  8.02052052E+00  8.02084949E+00  1.37134231E+01  1.34934231E+01  2.84645130E+00  2.84628681E+00  4.01026026E+00  4.01042474E+00  6.85671156E+00  2.32248194E+01  2.28557052E+00  1.45031482E+01  1.16328839E+02  0.00000000E+00  2.52408739E+02  1.20790659E+01  4.77861088E-03
  8.90470304E+00  5.14483205E+00  4.09651979E+00  4.09667951E+00  9.24151156E+00  9.02151156E+00  2.57249588E+00  2.57241602E+00  2.04825990E+00  2.04833975E+00  4.62075578E+00  1.95227955E+01  1.54025193E+00  1.46857241E+01  5.35582042E+01  0.00000000E+00  2.46596686E+02  9.37543449E+00  3.23041240E-01
  1.43289649E+01  6.26781193E+00  4.95260692E+00  4.95279155E+00  1.12206035E+01  1.10006035E+01  3.13399828E+00  3.13390596E+00  2.47630346E+00  2.47639578E+00  5.61030174E+00  2.09999132E+01  1.87010058E+00  1.43113896E+01  7.29950433E+01  0.00000000E+00  2.36438768E+02  1.23808741E+01  4.95168333E-01
  2.38218217E+01  7.77142423E+00  7.23778002E+00  7.23834941E+00  1.50097736E+01  1.47897736E+01  3.88599681E+00  3.88571212E+00  3.61889001E+00  3.61917470E+00  7.50488682E+00  2.54291432E+01  2.50162894E+00  1.38101921E+01  1.27887077E+02  0.00000000E+00  2.36554520E+02  1.70378194E+01  6.18029027E-01
  1.33643998E+01  5.88880842E+00  4.92134041E+00  4.92135504E+00  1.08101635E+01  1.05901635E+01  2.94441153E+00  2.94440421E+00  2.46067020E+00  2.46067752E+00  5.40508173E+00  2.14969973E+01  1.80169391E+00  1.44377206E+01  7.75088540E+01  0.00000000E+00  2.49996232E+02  1.41156767E+01  6.73364078E-01
  1.18885078E+01  4.62899401E+00  6.99779766E+00  6.99832786E+00  1.16273219E+01  1.14073219E+01  2.31476211E+00  2.31449701E+00  3.49889883E+00  3.49916393E+00  5.81366094E+00  2.30666857E+01  1.93788698E+00  1.48576816E+01  8.01534651E+01  0.00000000E+00  2.88366529E+02  1.19521965E+01  1.45469990E-01
  1.72167081E+01  5.17056155E+00  6.96196954E+00  6.96258521E+00  1.21331468E+01  1.19131468E+01  2.58558861E+00  2.58528078E+00  3.48098477E+00  3.48129261E+00  6.06657338E+00  1.86016539E+01  2.02219113E+00  1.46771617E+01  6.76653081E+01  0.00000000E+00  2.20123711E+02  1.04125038E+01 -3.13787714E-03
  1.74452179E+01  6.34250188E+00  5.45307736E+00  5.45222591E+00  1.17947278E+01  1.15747278E+01  3.17082521E+00  3.17125094E+00  2.72653868E+00  2.72611295E+00  5.89736389E+00  1.92671374E+01  1.96578796E+00  1.42864572E+01  6.57903454E+01  0.00000000E+00  2.25614392E+02  1.16475342E+01  3.46919160E-01
  2.99285065E+00  3.46406171E+00  5.01164507E+00  5.01201183E+00  8.47607354E+00  8.25607354E+00  1.73221424E+00  1.73203086E+00  2.50582253E+00  2.50600592E+00  4.23803677E+00  2.28695618E+01  1.41267892E+00  1.52459929E+01  6.11163738E+01  0.00000000E+00  3.03049922E+02  1.04673202E+01  2.94929896E-01
  1.41877126E+01  5.63465899E+00  5.34473264E+00  5.34491039E+00  1.09795694E+01  1.07595694E+01  2.81741837E+00  2.81732949E+00  2.67236632E+00  2.67245520E+00  5.48978469E+00  1.83365735E+01  1.82992823E+00  1.45224445E+01  6.98945410E+01  0.00000000E+00  2.03109601E+02  1.07838859E+01  2.76651664E-01
  2.76460293E+01  7.87093148E+00  7.97104277E+00  7.97187596E+00  1.58428074E+01  1.56228074E+01  3.93588234E+00  3.93546574E+00  3.98552138E+00  3.98593798E+00  7.92140372E+00  2.25994307E+01  2.64046791E+00  1.37770346E+01  1.09848034E+02  0.00000000E+00  2.28741681E+02  1.75557132E+01  5.59789376E-01
  1.11069061E+01  5.71795700E+00  4.76367867E+00  4.76349788E+00  1.04814549E+01  1.02614549E+01  2.85888811E+00  2.85897850E+00  2.38183934E+00  2.38174894E+00  5.24072744E+00  2.11131159E+01  1.74690915E+00  1.44946630E+01  5.82005660E+01  0.00000000E+00  2.64661042E+02  1.34698286E+01  6.32457853E-01
  9.09984897E+00  3.82905415E+00  6.06196073E+00  6.06219347E+00  9.89124762E+00  9.67124762E+00  1.91464344E+00  1.91452708E+00  3.03098037E+00  3.03109673E+00  4.94562381E+00  2.02624044E+01  1.64854127E+00  1.51243206E+01  6.81103544E+01  0.00000000E+00  2.46284714E+02  9.08893464E+00 -4.35973559E-04
  1.98272173E+01  6.53454800E+00  7.37245093E+00  7.37258789E+00  1.39071359E+01  1.36871359E+01  3.26734248E+00  3.26727400E+00  3.68622547E+00  3.68629395E+00  6.95356795E+00  2.61065541E+01  2.31785598E+00  1.42224771E+01  1.03791303E+02  0.00000000E+00  3.07894112E+02  1.83633709E+01  7.30448395E-01
  3.09808121E+01  7.59707819E+00  9.95201699E+00  9.95234769E+00  1.75494259E+01  1.73294259E+01  3.79870445E+00  3.79853910E+00  4.97600850E+00  4.97617384E+00  8.77471294E+00  2.38961851E+01  2.92490431E+00  1.38683058E+01  1.35640484E+02  0.00000000E+00  2.28038638E+02  1.57170870E+01  7.88558605E-02
  1.16556031E+01  5.26051807E+00  4.92041057E+00  4.92018563E+00  1.01807037E+01  9.96070370E+00  2.63014657E+00  2.63025903E+00  2.46020528E+00  2.46009282E+00  5.09035185E+00  1.98541925E+01  1.69678395E+00  1.46471457E+01  6.01256484E+01  0.00000000E+00  2.45285581E+02  1.03854148E+01  3.00513298E-01
  1.68798338E+01  7.23082630E+00  4.82720586E+00  4.82760566E+00  1.20584320E+01  1.18384320E+01  3.61561305E+00  3.61541315E+00  2.41360293E+00  2.41380283E+00  6.02921598E+00  1.99730853E+01  2.00973866E+00  1.39903913E+01  7.45869247E+01  0.00000000E+00  2.14131832E+02  1.20017281E+01  4.76031630E-01
  1.78910350E+01  6.14184691E+00  6.47480218E+00  6.47427655E+00  1.26161235E+01  1.23961235E+01  3.07066064E+00  3.07092346E+00  3.23740109E+00  3.23713828E+00  6.30806173E+00  2.00145043E+01  2.10268724E+00  1.43533580E+01  7.90748345E+01  0.00000000E+00  2.20849359E+02  1.31649890E+01  3.45356972E-01
  6.32006878E+00  4.62711313E+00  4.08616108E+00  4.08637863E+00  8.71349176E+00  8.49349176E+00  2.31366534E+00  2.31355656E+00  2.04308054E+00  2.04318931E+00  4.35674588E+00  1.88894303E+01  1.45224863E+00  1.48582973E+01  4.94174829E+01  0.00000000E+00  2.41157075E+02  7.25471509E+00  1.12514434E-01
  2.18915349E+01  4.56242606E+00  9.97347163E+00  9.97373320E+00  1.45361593E+01  1.43161593E+01  2.28134381E+00  2.28121303E+00  4.98673582E+00  4.98686660E+00  7.26807963E+00  2.19823962E+01  2.42269321E+00  1.48798658E+01  1.09101731E+02  0.00000000E+00  2.27165974E+02  1.48213549E+01 -1.39251741E-02
  2.10065455E+01  6.75939426E+00  7.05554742E+00  7.05482118E+00  1.38142154E+01  1.35942154E+01  3.37933401E+00  3.37969713E+00  3.52777371E+00  3.52741059E+00  6.90710772E+00  2.19343522E+01  2.30236924E+00  1.41474981E+01  1.05502262E+02  0.00000000E+00  2.20703024E+02  1.39985178E+01  3.41628116E-01
  1.28035334E+01  5.12081569E+00  5.15166612E+00  5.15166220E+00  1.02724779E+01  1.00524779E+01  2.56040589E+00  2.56040785E+00  2.57583306E+00  2.57583110E+00  5.13623895E+00  1.94895081E+01  1.71207965E+00  1.46937256E+01  5.99628687E+01  0.00000000E+00  2.42671848E+02  1.01029187E+01  2.37542183E-01
  2.60166595E+01  7.98634090E+00  6.24430195E+00  6.24400849E+00  1.42303494E+01  1.40103494E+01  3.99302372E+00  3.99317045E+00  3.12215097E+00  3.12200424E+00  7.11517469E+00  1.99326007E+01  2.37172490E+00  1.37385213E+01  9.54041250E+01  0.00000000E+00  1.99953149E+02  1.76226325E+01  8.25661546E-01
  1.82249453E+01  6.88906014E+00  5.26035788E+00  5.25970080E+00  1.21487609E+01  1.19287609E+01  3.44420153E+00  3.44453007E+00  2.63017894E+00  2.62985040E+00  6.07438047E+00  2.12383003E+01  2.02479349E+00  1.41042758E+01  9.50346124E+01  0.00000000E+00  2.17183544E+02  1.38005818E+01  5.91102702E-01
