# PIMCID: 148f4cb1-b25c-4e68-9a6f-f74e9c40f858
#           K_op            K_cv            V_op            V_cv               E            E_mu          K_op/N          K_cv/N          V_op/N          V_cv/N             E/N     EEcv*Beta^2        Ecv*Beta            dEdB          CvCov1          CvCov2          CvCov3            E_th               P
  9.49523668E+00  5.21078469E+00  4.76232605E+00  4.76158230E+00  9.97236699E+00  9.75236699E+00  2.60502047E+00  2.60539234E+00  2.38116303E+00  2.38079115E+00  4.98618349E+00  1.80723071E+01  1.53421031E+00  1.35972680E+01  3.97835145E+01  0.00000000E+00  2.26284332E+02  8.90956393E+00  1.76718723E-01
  1.33818794E+01  5.69671644E+00  6.76361244E+00  6.76370352E+00  1.24604200E+01  1.22404200E+01  2.84840376E+00  2.84835822E+00  3.38180622E+00  3.38185176E+00  6.23020998E+00  2.01322344E+01  1.91698769E+00  1.34477718E+01  6.84805644E+01  0.00000000E+00  2.21702327E+02  1.27581124E+01  2.61255254E-01
  2.07152957E+01  7.68514362E+00  6.83979842E+00  6.83990058E+00  1.45250442E+01  1.43050442E+01  3.84262289E+00  3.84257181E+00  3.41989921E+00  3.41995029E+00  7.26252210E+00  1.98546963E+01  2.23462219E+00  1.28359426E+01  7.99798580E+01  0.00000000E+00  1.99950923E+02  1.46867659E+01  4.42691039E-01
  1.52387578E+01  6.24428373E+00  6.31974288E+00  6.32007598E+00  1.25643597E+01  1.23443597E+01  3.12230842E+00  3.12214186E+00  3.15987144E+00  3.16003799E+00  6.28217985E+00  1.93205346E+01  1.93297842E+00  1.32792967E+01  7.09953950E+01  0.00000000E+00  2.01153900E+02  1.28819969E+01  3.40187864E-01
  1.80587373E+01  6.09470394E+00  8.43627541E+00  8.43653233E+00  1.45312363E+01  1.43112363E+01  3.04748043E+00  3.04735197E+00  4.21813771E+00  4.21826616E+00  7.26561813E+00  2.31814667E+01  2.23557481E+00  1.33253216E+01  8.53434788E+01  0.00000000E+00  2.47974719E+02  1.58276676E+01  3.17286333E-01
  1.63897848E+01  7.93029656E+00  4.79611262E+00  4.79608206E+00  1.27263786E+01  1.25063786E+01  3.96513300E+00  3.96514828E+00  2.39805631E+00  2.39804103E+00  6.36318931E+00  1.83035626E+01  1.95790440E+00  1.27605017E+01  6.00449921E+01  0.00000000E+00  1.91543222E+02  1.32773545E+01  6.08322818E-01
  1.71033157E+01  6.04252169E+00  7.17821060E+00  7.17789838E+00  1.32204201E+01  1.30004201E+01  3.02110474E+00  3.02126085E+00  3.58910530E+00  3.58894919E+00  6.61021004E+00  1.95645405E+01  2.03391078E+00  1.33413547E+01  7.74673784E+01  0.00000000E+00  1.94699157E+02  1.37685351E+01  3.00168261E-01
  5.60543015E+00  5.05742618E+00  4.44474981E+00  4.44490024E+00  9.50232642E+00  9.28232642E+00  2.52878831E+00  2.52871309E+00  2.22237490E+00  2.22245012E+00  4.75116321E+00  1.78280271E+01  1.46189637E+00  1.36444845E+01  3.68524846E+01  0.00000000E+00  2.22677156E+02  6.34464105E+00 -3.22712344E-02
  1.48838673E+01  5.73395976E+00  6.17672494E+00  6.17585274E+00  1.19098125E+01  1.16898125E+01  2.86654378E+00  2.86697988E+00  3.08836247E+00  3.08792637E+00  5.95490625E+00  1.60209631E+01  1.83227885E+00  1.34362853E+01  5.42988708E+01  0.00000000E+00  1.68702574E+02  9.02007974E+00 -2.43703587E-02
  1.67123505E+01  6.55392255E+00  6.11814034E+00  6.11843109E+00  1.26723536E+01  1.24523536E+01  3.27710665E+00  3.27696127E+00  3.05907017E+00  3.05921555E+00  6.33617682E+00  1.95999805E+01  1.94959287E+00  1.31840224E+01  7.33830407E+01  0.00000000E+00  2.06126976E+02  1.22466838E+01  3.06903296E-01
