# PIMCID: 4258f498-200a-4668-84de-2d1a725a51a7
#           K_op            K_cv            V_op            V_cv               E            E_mu          K_op/N          K_cv/N          V_op/N          V_cv/N             E/N     EEcv*Beta^2        Ecv*Beta            dEdB          CvCov1          CvCov2          CvCov3            E_th               P
  2.31642563E+01  8.51602317E+00  9.02879675E+00  9.02866293E+00  1.75446861E+01  1.73246861E+01  4.25794467E+00  4.25801158E+00  4.51439837E+00  4.51433146E+00  8.77234305E+00  2.10651429E+01  2.50638373E+00  1.15674022E+01  1.03199873E+02  0.00000000E+00  1.72100704E+02  1.73231788E+01  3.78017811E-01
  1.57948322E+01  6.29431687E+00  7.56063405E+00  7.56079352E+00  1.38551104E+01  1.36351104E+01  3.14723817E+00  3.14715844E+00  3.78031702E+00  3.78039676E+00  6.92755519E+00  1.68649184E+01  1.97930148E+00  1.22021965E+01  5.78216675E+01  0.00000000E+00  1.61565961E+02  1.18701237E+01  5.28928180E-02
  2.04393999E+01  7.91148328E+00  8.21915314E+00  8.22036882E+00  1.61318521E+01  1.59118521E+01  3.95634948E+00  3.95574164E+00  4.10957657E+00  4.11018441E+00  8.06592605E+00  2.06803087E+01  2.30455030E+00  1.17401698E+01  9.57692880E+01  0.00000000E+00  1.72062985E+02  1.88932546E+01  6.56269564E-01
  1.56780400E+01  7.87909529E+00  4.84743523E+00  4.84733956E+00  1.27264348E+01  1.25064348E+01  3.93949981E+00  3.93954764E+00  2.42371762E+00  2.42366978E+00  6.36321742E+00  1.70274400E+01  1.81806212E+00  1.17493838E+01  6.28978168E+01  0.00000000E+00  1.39950832E+02  1.52080517E+01  7.93703904E-01
  1.90017022E+01  6.36302396E+00  9.09191872E+00  9.09216150E+00  1.54551855E+01  1.52351855E+01  3.18163337E+00  3.18151198E+00  4.54595936E+00  4.54608075E+00  7.72759273E+00  1.83358347E+01  2.20788364E+00  1.21825649E+01  7.91947209E+01  0.00000000E+00  1.60015805E+02  1.54345523E+01  1.79630373E-01
  1.67310555E+01  6.16006673E+00  9.22675801E+00  9.22721440E+00  1.53872811E+01  1.51672811E+01  3.08026156E+00  3.08003336E+00  4.61337901E+00  4.61360720E+00  7.69364056E+00  1.93055138E+01  2.19818302E+00  1.22405621E+01  5.88829777E+01  0.00000000E+00  2.07460398E+02  1.48267513E+01  9.85923311E-02
  1.85368979E+01  7.66180655E+00  6.66823561E+00  6.66907524E+00  1.43308818E+01  1.41108818E+01  3.83132309E+00  3.83090327E+00  3.33411780E+00  3.33453762E+00  7.16544090E+00  1.63604578E+01  2.04726883E+00  1.18114942E+01  6.44853150E+01  0.00000000E+00  1.33497067E+02  1.52808493E+01  5.27723184E-01
  1.56625990E+01  6.97438711E+00  5.60967135E+00  5.61028815E+00  1.25846753E+01  1.23646753E+01  3.48750196E+00  3.48719356E+00  2.80483568E+00  2.80514408E+00  6.29233763E+00  1.53126099E+01  1.79781075E+00  1.20078985E+01  5.97355952E+01  0.00000000E+00  1.29755763E+02  1.21928816E+01  3.77744545E-01
  1.76391011E+01  7.68031067E+00  6.96310669E+00  6.96294888E+00  1.46432596E+01  1.44232596E+01  3.84007643E+00  3.84015534E+00  3.48155334E+00  3.48147444E+00  7.32162978E+00  1.81817403E+01  2.09189422E+00  1.18061812E+01  6.80244119E+01  0.00000000E+00  1.61180257E+02  1.17652754E+01  1.32084727E-01
  1.31572624E+01  6.58509968E+00  5.68312926E+00  5.68277623E+00  1.22678759E+01  1.20478759E+01  3.29237333E+00  3.29254984E+00  2.84156463E+00  2.84138812E+00  6.13393796E+00  1.51866425E+01  1.75255370E+00  1.21190960E+01  4.76801726E+01  0.00000000E+00  1.46298556E+02  9.95279248E+00  1.42862419E-01
