# PIMCID: 06f05ebc-4043-47a9-a260-ba8b30be97f9
#           K_op            K_cv            V_op            V_cv               E            E_mu          K_op/N          K_cv/N          V_op/N          V_cv/N             E/N     EEcv*Beta^2        Ecv*Beta            dEdB          CvCov1          CvCov2          CvCov3            E_th               P
  1.84819191E+01  8.87916885E+00  8.50968503E+00  8.50959630E+00  1.73887651E+01  1.71687651E+01  4.43954006E+00  4.43958442E+00  4.25484251E+00  4.25479815E+00  8.69438257E+00  1.77765285E+01  2.17359564E+00  1.01806865E+01  7.23068157E+01  0.00000000E+00  1.30419239E+02  1.85187550E+01  5.75435477E-01
  1.76912429E+01  8.70279422E+00  7.46118787E+00  7.46170821E+00  1.61645024E+01  1.59445024E+01  4.35165728E+00  4.35139711E+00  3.73059393E+00  3.73085410E+00  8.08225121E+00  1.56140442E+01  2.02056280E+00  1.02247934E+01  6.33556685E+01  0.00000000E+00  1.06441698E+02  1.76693923E+01  6.47682493E-01
  7.82205960E+00  5.68079427E+00  6.18219783E+00  6.18149981E+00  1.18622941E+01  1.16422941E+01  2.84004812E+00  2.84039714E+00  3.09109892E+00  3.09074991E+00  5.93114704E+00  1.53205487E+01  1.48278676E+00  1.09802719E+01  3.69987936E+01  0.00000000E+00  1.44355356E+02  1.31531241E+01  3.88087021E-01
  1.98849399E+01  8.82689730E+00  9.50942578E+00  9.51019292E+00  1.83370902E+01  1.81170902E+01  4.41383222E+00  4.41344865E+00  4.75471289E+00  4.75509646E+00  9.16854511E+00  1.70786940E+01  2.29213628E+00  1.01937785E+01  6.90942067E+01  0.00000000E+00  1.20034886E+02  1.86239781E+01  4.35868223E-01
  1.48523477E+01  8.27312881E+00  6.12428875E+00  6.12411318E+00  1.43972420E+01  1.41772420E+01  4.13647662E+00  4.13656440E+00  3.06214437E+00  3.06205659E+00  7.19862099E+00  1.44652562E+01  1.79965525E+00  1.03321964E+01  4.58945955E+01  0.00000000E+00  1.15254303E+02  1.14655323E+01  2.27935843E-01
  1.56877451E+01  8.56067833E+00  6.72518495E+00  6.72466718E+00  1.52853455E+01  1.50653455E+01  4.28008028E+00  4.28033917E+00  3.36259247E+00  3.36233359E+00  7.64267275E+00  1.57305189E+01  1.91066819E+00  1.02602994E+01  5.28681282E+01  0.00000000E+00  1.20101371E+02  1.60671261E+01  5.98012078E-01
  1.59213651E+01  7.81311355E+00  8.11116318E+00  8.11015145E+00  1.59232650E+01  1.57032650E+01  3.90605091E+00  3.90655677E+00  4.05558159E+00  4.05507573E+00  7.96163250E+00  1.64415332E+01  1.99040812E+00  1.04471847E+01  6.89548941E+01  0.00000000E+00  1.19491108E+02  1.49086427E+01  2.74341004E-01
  2.06986380E+01  8.87044912E+00  1.00093202E+01  1.00090788E+01  1.88795279E+01  1.86595279E+01  4.43510385E+00  4.43522456E+00  5.00466010E+00  5.00453939E+00  9.43976396E+00  1.70045425E+01  2.35994099E+00  1.01828629E+01  7.50751270E+01  0.00000000E+00  1.13706181E+02  2.09219175E+01  5.90829253E-01
  1.38348799E+01  8.52203535E+00  6.06044420E+00  6.06140010E+00  1.45834355E+01  1.43634355E+01  4.26149563E+00  4.26101767E+00  3.03022210E+00  3.03070005E+00  7.29171773E+00  1.58859450E+01  1.82292943E+00  1.02699971E+01  5.07223219E+01  0.00000000E+00  1.25088272E+02  1.44190961E+01  5.32699187E-01
  2.10307260E+01  8.62814410E+00  1.02598321E+01  1.02596157E+01  1.88877598E+01  1.86677598E+01  4.31396383E+00  4.31407205E+00  5.12991606E+00  5.12980784E+00  9.44387989E+00  1.78313638E+01  2.36096997E+00  1.02434418E+01  7.55413363E+01  0.00000000E+00  1.29117444E+02  1.99095270E+01  4.52009653E-01
  1.74868305E+01  7.84896089E+00  7.62887316E+00  7.62854578E+00  1.54775067E+01  1.52575067E+01  3.92431675E+00  3.92448045E+00  3.81443658E+00  3.81427289E+00  7.73875334E+00  1.46617129E+01  1.93468833E+00  1.04382333E+01  5.57751590E+01  0.00000000E+00  1.07776730E+02  1.94465521E+01  8.00372823E-01
  1.67424722E+01  7.51853477E+00  9.00429806E+00  9.00424846E+00  1.65227832E+01  1.63027832E+01  3.75924258E+00  3.75926738E+00  4.50214903E+00  4.50212423E+00  8.26139162E+00  1.69181788E+01  2.06534790E+00  1.05208527E+01  6.89084338E+01  0.00000000E+00  1.20832064E+02  1.76297359E+01  4.12335713E-01
  1.27381184E+01  7.39103432E+00  6.33434247E+00  6.33411086E+00  1.37251452E+01  1.35051452E+01  3.69540135E+00  3.69551716E+00  3.16717124E+00  3.16705543E+00  6.86257259E+00  1.44109456E+01  1.71564315E+00  1.05527219E+01  4.04908622E+01  0.00000000E+00  1.25131417E+02  1.37425170E+01  4.24134642E-01
  1.74158620E+01  8.86538766E+00  8.57369212E+00  8.57394287E+00  1.74393305E+01  1.72193305E+01  4.43281921E+00  4.43269383E+00  4.28684606E+00  4.28697144E+00  8.71966527E+00  1.84543034E+01  2.17991632E+00  1.01841407E+01  7.40582800E+01  0.00000000E+00  1.38556109E+02  1.72501928E+01  4.38927264E-01
  1.21506883E+01  7.21952170E+00  6.14808604E+00  6.14802765E+00  1.33675494E+01  1.31475494E+01  3.60973166E+00  3.60976085E+00  3.07404302E+00  3.07401383E+00  6.68377468E+00  1.46668539E+01  1.67094367E+00  1.05956076E+01  4.10182786E+01  0.00000000E+00  1.31466528E+02  1.17476659E+01  2.52562023E-01
  1.58224403E+01  8.54506988E+00  6.78400966E+00  6.78421189E+00  1.53292818E+01  1.51092818E+01  4.27263605E+00  4.27253494E+00  3.39200483E+00  3.39210594E+00  7.66464088E+00  1.69398230E+01  1.91616022E+00  1.02642206E+01  5.62722550E+01  0.00000000E+00  1.30193925E+02  1.52928346E+01  5.11651217E-01
