# PIMCID: d9702d81-bae6-4ee3-a618-21859cff48a1
#           K_op            K_cv            V_op            V_cv               E            E_mu          K_op/N          K_cv/N          V_op/N          V_cv/N             E/N     EEcv*Beta^2        Ecv*Beta            dEdB          CvCov1          CvCov2          CvCov3            E_th               P
  1.79783276E+01  1.01484005E+01  1.06095115E+01  1.06098276E+01  2.07582281E+01  2.05382281E+01  5.07435832E+00  5.07420024E+00  5.30475575E+00  5.30491382E+00  1.03791141E+01  1.48004948E+01  2.18507664E+00  8.26390514E+00  5.94233959E+01  0.00000000E+00  8.16136634E+01  2.33135430E+01  7.39879425E-01
  1.68034829E+01  9.38662312E+00  9.33767104E+00  9.33775057E+00  1.87243737E+01  1.85043737E+01  4.69335132E+00  4.69331156E+00  4.66883552E+00  4.66887528E+00  9.36218684E+00  1.27046860E+01  1.97098670E+00  8.42426499E+00  5.09704424E+01  0.00000000E+00  6.18214693E+01  2.09016590E+01  6.89502675E-01
  1.50302095E+01  8.71586912E+00  9.19262317E+00  9.19209541E+00  1.79079645E+01  1.76879645E+01  4.35767068E+00  4.35793456E+00  4.59631158E+00  4.59604770E+00  8.95398227E+00  1.38800087E+01  1.88504890E+00  8.56547763E+00  5.14426496E+01  0.00000000E+00  8.87444141E+01  1.58644616E+01  2.07631223E-01
  1.66056366E+01  9.58712165E+00  8.92756924E+00  8.92816986E+00  1.85152915E+01  1.82952915E+01  4.79386113E+00  4.79356082E+00  4.46378462E+00  4.46408493E+00  9.25764575E+00  1.27782216E+01  1.94897805E+00  8.38207940E+00  5.14653503E+01  0.00000000E+00  6.35405791E+01  1.73265485E+01  3.93428764E-01
  1.81478725E+01  9.06173259E+00  1.15465904E+01  1.15463745E+01  2.06081071E+01  2.03881071E+01  4.53075835E+00  4.53086630E+00  5.77329521E+00  5.77318727E+00  1.03040536E+01  1.53289846E+01  2.16927443E+00  8.49266987E+00  6.27201201E+01  0.00000000E+00  8.68196797E+01  2.07407598E+01  3.42119008E-01
  1.57248238E+01  1.03378767E+01  8.64525456E+00  8.64544525E+00  1.89833220E+01  1.87633220E+01  5.16903370E+00  5.16893835E+00  4.32262728E+00  4.32272262E+00  9.49166098E+00  1.60337621E+01  1.99824442E+00  8.22400860E+00  6.83814659E+01  0.00000000E+00  7.30558677E+01  2.53739667E+01  1.24057929E+00
  1.14065799E+01  8.56476821E+00  7.27048938E+00  7.26966732E+00  1.58344355E+01  1.56144355E+01  4.28197307E+00  4.28238410E+00  3.63524469E+00  3.63483366E+00  7.91721776E+00  1.36967835E+01  1.66678269E+00  8.59718836E+00  3.86553255E+01  0.00000000E+00  9.44066307E+01  1.24323299E+01  1.52782392E-01
  1.04839696E+01  7.57959886E+00  6.63773041E+00  6.63663485E+00  1.42162337E+01  1.39962337E+01  3.78925165E+00  3.78979943E+00  3.31886521E+00  3.31831743E+00  7.10811686E+00  1.24262001E+01  1.49644565E+00  8.80467900E+00  3.47470236E+01  0.00000000E+00  8.12448296E+01  1.47716312E+01  4.81667443E-01
  1.32815688E+01  8.99855610E+00  8.90466570E+00  8.90507548E+00  1.79036316E+01  1.76836316E+01  4.49948295E+00  4.49927805E+00  4.45233285E+00  4.45253774E+00  8.95181579E+00  1.44030499E+01  1.88459280E+00  8.50598275E+00  4.70304372E+01  0.00000000E+00  9.44610672E+01  1.72185197E+01  3.86090035E-01
  1.42850230E+01  8.66725618E+00  8.59459711E+00  8.59500408E+00  1.72622603E+01  1.70422603E+01  4.33383157E+00  4.33362809E+00  4.29729856E+00  4.29750204E+00  8.63113013E+00  1.28417520E+01  1.81708003E+00  8.57573180E+00  4.77841122E+01  0.00000000E+00  7.12581144E+01  1.72451736E+01  4.35266155E-01
  1.58636366E+01  9.35137683E+00  8.77279339E+00  8.77280194E+00  1.81241788E+01  1.79041788E+01  4.67569269E+00  4.67568842E+00  4.38639670E+00  4.38640097E+00  9.06208939E+00  1.16460769E+01  1.90780829E+00  8.43169803E+00  4.64376982E+01  0.00000000E+00  5.89208080E+01  1.13997572E+01 -1.75945166E-01
  1.51038771E+01  9.37540296E+00  8.82261096E+00  8.82234394E+00  1.81977469E+01  1.79777469E+01  4.68756797E+00  4.68770148E+00  4.41130548E+00  4.41117197E+00  9.09887345E+00  1.40562531E+01  1.91555230E+00  8.42663265E+00  4.91994461E+01  0.00000000E+00  8.08870482E+01  1.73762202E+01  4.14269828E-01
  1.79449654E+01  1.03645814E+01  1.01477584E+01  1.01489065E+01  2.05134878E+01  2.02934878E+01  5.18286471E+00  5.18229068E+00  5.07387920E+00  5.07445323E+00  1.02567439E+01  1.49485733E+01  2.15931451E+00  8.21841031E+00  6.04702589E+01  0.00000000E+00  7.86197103E+01  1.95078486E+01  4.28448200E-01
