# PIMCID: 31105151-5743-4e7e-9a93-18f7b7afe04a
#           K_op            K_cv            V_op            V_cv               E            E_mu          K_op/N          K_cv/N          V_op/N          V_cv/N             E/N     EEcv*Beta^2        Ecv*Beta            dEdB          CvCov1          CvCov2          CvCov3            E_th               P
  1.03387417E+03  8.39043520E-01  4.76423979E-01  4.76382038E-01  1.31542556E+00  1.09542556E+00  4.19500790E-01  4.19521760E-01  2.38211990E-01  2.38191019E-01  6.57712779E-01  3.83258632E+02  4.38475186E+00  3.27619628E+02  3.34632678E+03  0.00000000E+00  1.22258642E+05  1.47049948E+00  7.55926103E-02
  5.72847978E+02  3.96542323E-01  4.79402978E-01  4.79416791E-01  8.75959114E-01  6.55959114E-01  1.98278068E-01  1.98271161E-01  2.39701489E-01  2.39708395E-01  4.37979557E-01  3.30065863E+02  2.91986371E+00  3.30569716E+02  2.91954127E+03  0.00000000E+00  1.05218698E+05  1.44932222E+00  7.30196716E-02
  9.80111363E+02  6.87206573E-01  5.31116565E-01  5.31148519E-01  1.21835509E+00  9.98355092E-01  3.43619263E-01  3.43603286E-01  2.65558282E-01  2.65574260E-01  6.09177546E-01  2.96786014E+02  4.06118364E+00  3.28631922E+02  3.82087850E+03  0.00000000E+00  9.23170536E+04  2.42512235E+00  1.62839922E-01
  6.21964117E+02  4.10949636E-01  5.04307124E-01  5.04323823E-01  9.15273459E-01  6.95273459E-01  2.05483168E-01  2.05474818E-01  2.52153562E-01  2.52161911E-01  4.57636730E-01  3.90369144E+02  3.05091153E+00  3.30473638E+02  3.01927433E+03  0.00000000E+00  1.25403230E+05  1.68707881E+00  9.30592738E-02
  5.48596170E+02  4.32775199E-01  4.45323301E-01  4.45302659E-01  8.78077858E-01  6.58077858E-01  2.16377278E-01  2.16387599E-01  2.22661651E-01  2.22651330E-01  4.39038929E-01  3.60726233E+02  2.92692619E+00  3.30328130E+02  3.64908384E+03  0.00000000E+00  1.13966691E+05  1.31448368E+00  6.46529396E-02
  6.91063448E+02  4.71353316E-01  5.08810855E-01  5.08825926E-01  9.80179241E-01  7.60179241E-01  2.35684193E-01  2.35676658E-01  2.54405427E-01  2.54412963E-01  4.90089621E-01  3.24249577E+02  3.26726414E+00  3.30070958E+02  2.86002487E+03  0.00000000E+00  1.03476024E+05  1.12359965E+00  3.60360420E-02
  7.76779566E+02  5.34014386E-01  5.21107399E-01  5.21109936E-01  1.05512432E+00  8.35124322E-01  2.67008462E-01  2.67007193E-01  2.60553699E-01  2.60554968E-01  5.27562161E-01  3.33495936E+02  3.51708107E+00  3.29653201E+02  1.84764799E+03  0.00000000E+00  1.08606471E+05  1.42303311E+00  6.41367862E-02
  7.20569038E+02  4.81429218E-01  5.33943019E-01  5.33985852E-01  1.01541507E+00  7.95415069E-01  2.40736025E-01  2.40714609E-01  2.66971509E-01  2.66992926E-01  5.07707535E-01  3.58961189E+02  3.38471690E+00  3.30003804E+02  2.61201004E+03  0.00000000E+00  1.15671646E+05  1.12809583E+00  3.27116700E-02
  7.09108599E+02  5.36794589E-01  4.72162478E-01  4.72131325E-01  1.00892591E+00  7.88925914E-01  2.68381718E-01  2.68397294E-01  2.36081239E-01  2.36065663E-01  5.04462957E-01  3.37481295E+02  3.36308638E+00  3.29634641E+02  3.06666767E+03  0.00000000E+00  1.07373204E+05  1.61905102E+00  9.10853721E-02
  1.03288623E+03  7.96313464E-01  4.97894920E-01  4.97930732E-01  1.29424420E+00  1.07424420E+00  3.98174638E-01  3.98156732E-01  2.48947460E-01  2.48965366E-01  6.47122098E-01  3.25705423E+02  4.31414732E+00  3.27904552E+02  3.19174351E+03  0.00000000E+00  1.03161352E+05  7.64792730E-01  1.78962994E-03
  1.09483211E+03  8.22815161E-01  5.76471094E-01  5.76393945E-01  1.39920911E+00  1.17920911E+00  4.11369006E-01  4.11407580E-01  2.88235547E-01  2.88196972E-01  6.99604553E-01  3.35472940E+02  4.66403035E+00  3.27727802E+02  4.34818262E+03  0.00000000E+00  1.04342631E+05  1.51424599E+00  6.49654690E-02
  2.23628321E+02  5.85907137E-02  5.04530561E-01  5.04534934E-01  5.63125648E-01  3.43125648E-01  2.92975433E-02  2.92953569E-02  2.52265280E-01  2.52267467E-01  2.81562824E-01  3.09287264E+02  1.87708549E+00  3.32822760E+02  9.90014277E+02  0.00000000E+00  1.02036162E+05 -8.74938617E-01 -1.63174135E-01
 -2.87463471E+01 -1.53619275E-01  5.03211910E-01  5.03208380E-01  3.49589105E-01  1.29589105E-01 -7.68114023E-02 -7.68096373E-02  2.51605955E-01  2.51604190E-01  1.74794553E-01  3.26306102E+02  1.16529702E+00  3.34237479E+02  1.16000005E+03  0.00000000E+00  1.07502748E+05  3.49154079E-01 -4.05658827E-02
  5.26248376E+02  3.72721519E-01  4.84701920E-01  4.84626992E-01  8.57348512E-01  6.37348512E-01  1.86323296E-01  1.86360760E-01  2.42350960E-01  2.42313496E-01  4.28674256E-01  3.81704099E+02  2.85782837E+00  3.30728449E+02  2.70316170E+03  0.00000000E+00  1.23012552E+05  1.59834276E+00  8.71401945E-02
  1.00074040E+03  7.10954763E-01  5.19318478E-01  5.19322203E-01  1.23027697E+00  1.01027697E+00  3.55479244E-01  3.55477381E-01  2.59659239E-01  2.59661101E-01  6.15138483E-01  2.74638814E+02  4.10092322E+00  3.28473586E+02  1.79287722E+03  0.00000000E+00  8.88728224E+04  4.18163045E-01 -3.60820605E-02
  3.45197882E+02  1.68637366E-01  4.62570028E-01  4.62498950E-01  6.31136316E-01  4.11136316E-01  8.42831441E-02  8.43186832E-02  2.31285014E-01  2.31249475E-01  3.15568158E-01  3.10489474E+02  2.10378772E+00  3.32089029E+02  1.88284513E+03  0.00000000E+00  1.00649542E+05  5.33934185E-01 -1.59814549E-02
  1.06688448E+03  8.38841065E-01  4.92182540E-01  4.92141247E-01  1.33098231E+00  1.11098231E+00  4.19399886E-01  4.19420532E-01  2.46091270E-01  2.46070624E-01  6.65491156E-01  3.24086316E+02  4.43660771E+00  3.27620975E+02  3.84642496E+03  0.00000000E+00  1.01336242E+05  1.15288923E+00  4.14677035E-02
  7.01169554E+02  4.54372190E-01  5.53800527E-01  5.53780573E-01  1.00815276E+00  7.88152763E-01  2.27176118E-01  2.27186095E-01  2.76900264E-01  2.76890286E-01  5.04076381E-01  3.78133331E+02  3.36050921E+00  3.30184155E+02  1.56916693E+03  0.00000000E+00  1.24401661E+05  5.44467594E-01 -2.86203635E-02
  9.94134133E+02  7.49021516E-01  5.16002747E-01  5.16029706E-01  1.26505122E+00  1.04505122E+00  3.74524237E-01  3.74510758E-01  2.58001374E-01  2.58014853E-01  6.32525611E-01  3.48209689E+02  4.21683741E+00  3.28219842E+02  3.39379065E+03  0.00000000E+00  1.10417611E+05  8.23443619E-01  4.93987161E-03
  6.43687684E+02  4.12116426E-01  5.35718703E-01  5.35677846E-01  9.47794272E-01  7.27794272E-01  2.06037784E-01  2.06058213E-01  2.67859351E-01  2.67838923E-01  4.73897136E-01  3.46102913E+02  3.15931424E+00  3.30465820E+02  3.69408726E+03  0.00000000E+00  1.09289470E+05  6.98053479E-01 -1.05463647E-02
  6.88645135E+02  3.98260068E-01  5.43216171E-01  5.43220524E-01  9.41480592E-01  7.21480592E-01  1.99132211E-01  1.99130034E-01  2.71608085E-01  2.71610262E-01  4.70740296E-01  2.86824430E+02  3.13826864E+00  3.30558272E+02  2.57656352E+03  0.00000000E+00  9.14472357E+04  3.94765285E-01 -4.20065863E-02
  4.29511233E+02  2.23956273E-01  5.65782957E-01  5.65804591E-01  7.89760864E-01  5.69760864E-01  1.11988953E-01  1.11978136E-01  2.82891479E-01  2.82902296E-01  3.94880432E-01  4.07886578E+02  2.63253621E+00  3.31720296E+02  3.57597604E+03  0.00000000E+00  1.30253873E+05  9.05363882E-01  5.66566173E-03
  8.96042516E+02  5.72095872E-01  5.86085091E-01  5.86080182E-01  1.15817605E+00  9.38176054E-01  2.86045481E-01  2.86047936E-01  2.93042545E-01  2.93040091E-01  5.79088027E-01  3.10465627E+02  3.86058685E+00  3.29399341E+02  3.09213128E+03  0.00000000E+00  9.85342401E+04  9.21008533E-01  4.18878696E-03
  1.48120211E+03  1.24330443E+00  4.81898059E-01  4.81872586E-01  1.72517701E+00  1.50517701E+00  6.21639478E-01  6.21652214E-01  2.40949029E-01  2.40936293E-01  8.62588507E-01  3.63486276E+02  5.75059005E+00  3.24924532E+02  4.60262742E+03  0.00000000E+00  1.13099744E+05  2.23060131E+00  1.50779211E-01
  8.95159248E+02  6.19201869E-01  5.46882444E-01  5.46852810E-01  1.16605468E+00  9.46054678E-01  3.09586117E-01  3.09600934E-01  2.73441222E-01  2.73426405E-01  5.83027339E-01  2.97431952E+02  3.88684893E+00  3.29085266E+02  2.50766462E+03  0.00000000E+00  9.52064142E+04  1.54853698E+00  7.28257402E-02
  2.08774003E+02  8.90461904E-02  5.32286553E-01  5.32317997E-01  6.21364187E-01  4.01364187E-01  4.45388171E-02  4.45230952E-02  2.66143277E-01  2.66158999E-01  3.10682094E-01  3.95353247E+02  2.07121396E+00  3.32619717E+02  6.15625754E+02  0.00000000E+00  1.31874049E+05  1.25313317E-02 -7.85946019E-02
  2.31450511E+02  5.98624796E-02  5.38758022E-01  5.38743969E-01  5.98606448E-01  3.78606448E-01  2.99242130E-02  2.99312398E-02  2.69379011E-01  2.69371984E-01  2.99303224E-01  3.58810110E+02  1.99535483E+00  3.32814240E+02  6.81820410E+02  0.00000000E+00  1.19538317E+05  3.09923860E-01 -4.98192452E-02
  6.90247771E+02  4.80784862E-01  4.91821279E-01  4.91801910E-01  9.72586772E-01  7.52586772E-01  2.40382747E-01  2.40392431E-01  2.45910639E-01  2.45900955E-01  4.86293386E-01  3.43962494E+02  3.24195591E+00  3.30008041E+02  3.55656390E+03  0.00000000E+00  1.08627300E+05  2.51346372E+00  1.77576053E-01
  8.82821397E+02  5.93257447E-01  5.60063744E-01  5.60140090E-01  1.15339754E+00  9.33397537E-01  2.96666896E-01  2.96628723E-01  2.80031872E-01  2.80070045E-01  5.76698768E-01  3.50638024E+02  3.84465846E+00  3.29258315E+02  2.56678204E+03  0.00000000E+00  1.12909721E+05  1.10991654E+00  2.69706028E-02
  4.16749157E+02  1.90189751E-01  5.46721016E-01  5.46649162E-01  7.36838914E-01  5.16838914E-01  9.50589490E-02  9.50948757E-02  2.73360508E-01  2.73324581E-01  3.68419457E-01  3.37180653E+02  2.45612971E+00  3.31945366E+02  2.62063174E+03  0.00000000E+00  1.08351078E+05 -6.63307246E-02 -8.86304833E-02
  4.04449601E+02  1.64436819E-01  5.26175456E-01  5.26202632E-01  6.90639452E-01  4.70639452E-01  8.22319978E-02  8.22184096E-02  2.63087728E-01  2.63101316E-01  3.45319726E-01  3.30445815E+02  2.30213151E+00  3.32117093E+02  1.73897555E+03  0.00000000E+00  1.07815664E+05  1.07128557E+00  2.81981273E-02
