# PIMCID: f84e1b89-3ffb-459a-ac4a-4630b0262bc8
#           K_op            K_cv            V_op            V_cv               E            E_mu          K_op/N          K_cv/N          V_op/N          V_cv/N             E/N     EEcv*Beta^2        Ecv*Beta            dEdB          CvCov1          CvCov2          CvCov3            E_th               P
  3.56082084E+01  1.20636848E+00  1.31873625E+00  1.31862382E+00  2.52499230E+00  2.30499230E+00  6.03128023E-01  6.03184238E-01  6.59368124E-01  6.59311910E-01  1.26249615E+00  6.26951616E+01  1.68332820E+00  6.47941599E+01  1.77243723E+02  0.00000000E+00  3.93470822E+03  1.04053240E+00 -9.37404213E-02
  5.01630608E+01  1.64713952E+00  1.31764401E+00  1.31748922E+00  2.96462873E+00  2.74462873E+00  8.23492360E-01  8.23569758E-01  6.58822007E-01  6.58744608E-01  1.48231437E+00  7.20935865E+01  1.97641915E+00  6.42064510E+01  2.70213712E+02  0.00000000E+00  4.39923949E+03  2.18977080E+00  2.13536089E-02
  6.05294889E+01  1.88268526E+00  1.35332427E+00  1.35345642E+00  3.23614168E+00  3.01614168E+00  9.41408707E-01  9.41342630E-01  6.76662133E-01  6.76728210E-01  1.61807084E+00  7.81637917E+01  2.15742779E+00  6.38924177E+01  2.58944941E+02  0.00000000E+00  4.82079170E+03  4.35008590E+00  2.31990036E-01
  2.23479040E+01  9.55715123E-01  1.42297379E+00  1.42311563E+00  2.37883075E+00  2.15883075E+00  4.77928477E-01  4.77857562E-01  7.11486897E-01  7.11557813E-01  1.18941537E+00  6.89399630E+01  1.58588717E+00  6.51283994E+01  1.25083974E+02  0.00000000E+00  4.46926844E+03  7.07354696E-01 -1.42731970E-01
  3.76926084E+01  1.21301725E+00  1.37072719E+00  1.37075732E+00  2.58377457E+00  2.36377457E+00  6.06523688E-01  6.06508624E-01  6.85363596E-01  6.85378660E-01  1.29188728E+00  6.55792027E+01  1.72251638E+00  6.47853080E+01  1.92791845E+02  0.00000000E+00  4.09113144E+03  2.98205320E+00  9.25916304E-02
  7.24942810E+01  1.95311060E+00  1.33815980E+00  1.33823339E+00  3.29134400E+00  3.07134400E+00  9.76592099E-01  9.76555300E-01  6.69079898E-01  6.69116697E-01  1.64567200E+00  6.12151230E+01  2.19422933E+00  6.37985107E+01  2.69775780E+02  0.00000000E+00  3.63049807E+03  3.13162960E+00  1.12427861E-01
  4.21364653E+01  1.52356613E+00  1.25747998E+00  1.25734851E+00  2.78091464E+00  2.56091464E+00  7.61717330E-01  7.61783064E-01  6.28739988E-01  6.28674255E-01  1.39045732E+00  6.85368966E+01  1.85394309E+00  6.43712124E+01  2.01356107E+02  0.00000000E+00  4.26800787E+03  2.82130888E+00  9.35285270E-02
  3.33824466E+01  1.22038354E+00  1.32260812E+00  1.32270883E+00  2.54309237E+00  2.32309237E+00  6.10242127E-01  6.10191769E-01  6.61304059E-01  6.61354417E-01  1.27154619E+00  7.20164643E+01  1.69539491E+00  6.47754918E+01  2.00430417E+02  0.00000000E+00  4.51040823E+03  2.59212840E+00  6.08064259E-02
  3.79554423E+01  1.20582414E+00  1.44362799E+00  1.44353618E+00  2.64936032E+00  2.42936032E+00  6.02866166E-01  6.02912070E-01  7.21813993E-01  7.21768089E-01  1.32468016E+00  7.03916797E+01  1.76624021E+00  6.47948868E+01  2.22207401E+02  0.00000000E+00  4.38122096E+03  3.63340404E+00  1.46809881E-01
  2.85288772E+01  1.32648756E+00  1.24504357E+00  1.24510821E+00  2.57159577E+00  2.35159577E+00  6.63276101E-01  6.63243781E-01  6.22521786E-01  6.22554106E-01  1.28579789E+00  7.19308675E+01  1.71439718E+00  6.46340248E+01  9.78583214E+01  0.00000000E+00  4.69374177E+03  1.46441844E+00 -4.03244714E-02
  4.45197627E+01  1.28720652E+00  1.41353783E+00  1.41354469E+00  2.70075120E+00  2.48075120E+00  6.43606689E-01  6.43603259E-01  7.06768913E-01  7.06772343E-01  1.35037560E+00  5.79406713E+01  1.80050080E+00  6.46863881E+01  2.22005748E+02  0.00000000E+00  3.52884258E+03  2.08880987E+00 -3.15081118E-03
  4.31401336E+01  1.58768457E+00  1.28351321E+00  1.28375534E+00  2.87143991E+00  2.65143991E+00  7.93963350E-01  7.93842284E-01  6.41756606E-01  6.41877672E-01  1.43571996E+00  7.29479225E+01  1.91429327E+00  6.42857823E+01  2.56643663E+02  0.00000000E+00  4.45363572E+03  2.45956618E+00  5.33932302E-02
  3.29001232E+01  1.29443474E+00  1.29205652E+00  1.29216496E+00  2.58659970E+00  2.36659970E+00  6.47271590E-01  6.47217369E-01  6.46028259E-01  6.46082480E-01  1.29329985E+00  6.71928628E+01  1.72439980E+00  6.46767587E+01  2.20767140E+02  0.00000000E+00  4.15123848E+03  1.45813949E+00 -4.80108818E-02
  3.69746537E+01  1.17981191E+00  1.45513850E+00  1.45498207E+00  2.63479398E+00  2.41479398E+00  5.89827737E-01  5.89905955E-01  7.27569252E-01  7.27491033E-01  1.31739699E+00  7.15085716E+01  1.75652932E+00  6.48295555E+01  3.18961798E+02  0.00000000E+00  4.26352361E+03  3.65840134E+00  1.47592726E-01
  4.37771103E+01  1.53989692E+00  1.39621859E+00  1.39618745E+00  2.93608437E+00  2.71608437E+00  7.69932889E-01  7.69948458E-01  6.98109296E-01  6.98093727E-01  1.46804218E+00  7.53525659E+01  1.95738958E+00  6.43494539E+01  2.47495386E+02  0.00000000E+00  4.64581057E+03  2.70900053E+00  6.14718409E-02
  6.80271467E+01  1.95133176E+00  1.27853084E+00  1.27850804E+00  3.22983980E+00  3.00983980E+00  9.75654480E-01  9.75665881E-01  6.39265420E-01  6.39254019E-01  1.61491990E+00  6.63461214E+01  2.15322653E+00  6.38008630E+01  2.96911780E+02  0.00000000E+00  3.92839590E+03  4.55256285E+00  2.63479993E-01
  5.90688211E+01  1.88429816E+00  1.38910771E+00  1.38924621E+00  3.27354437E+00  3.05354437E+00  9.42218333E-01  9.42149079E-01  6.94553853E-01  6.94623107E-01  1.63677219E+00  7.73325940E+01  2.18236291E+00  6.38902752E+01  3.42791015E+02  0.00000000E+00  4.60006121E+03  3.12133153E+00  1.03746127E-01
  5.26443567E+01  1.49428283E+00  1.38783429E+00  1.38779322E+00  2.88207605E+00  2.66207605E+00  7.47120880E-01  7.47141415E-01  6.93917145E-01  6.93896610E-01  1.44103802E+00  6.88076537E+01  1.92138403E+00  6.44102738E+01  3.42073208E+02  0.00000000E+00  4.01774205E+03  4.11213349E+00  2.03044273E-01
  4.19829462E+01  1.28558576E+00  1.35458785E+00  1.35447900E+00  2.64006476E+00  2.42006476E+00  6.42738454E-01  6.42792880E-01  6.77293926E-01  6.77239500E-01  1.32003238E+00  6.73750018E+01  1.76004317E+00  6.46885362E+01  2.20523605E+02  0.00000000E+00  4.17912539E+03  2.39222278E+00  3.60503371E-02
  2.85204245E+01  1.11914143E+00  1.34676639E+00  1.34689266E+00  2.46603409E+00  2.24603409E+00  5.59633850E-01  5.59570716E-01  6.73383194E-01  6.73446329E-01  1.23301704E+00  6.89766513E+01  1.64402273E+00  6.49104907E+01  2.74359919E+02  0.00000000E+00  4.17153749E+03  2.79302903E+00  7.72689141E-02
  5.55484248E+01  1.50707568E+00  1.50584158E+00  1.50575987E+00  3.01283555E+00  2.79283555E+00  7.53496985E-01  7.53537838E-01  7.52920790E-01  7.52879937E-01  1.50641777E+00  6.36317866E+01  2.00855703E+00  6.43932147E+01  2.37177094E+02  0.00000000E+00  3.87326376E+03  2.39620983E+00  1.37569004E-02
  3.50315891E+01  1.25307469E+00  1.36057285E+00  1.36061363E+00  2.61368832E+00  2.39368832E+00  6.26557735E-01  6.26537347E-01  6.80286427E-01  6.80306816E-01  1.30684416E+00  6.69693898E+01  1.74245888E+00  6.47318996E+01  1.65151062E+02  0.00000000E+00  4.25062966E+03  2.55852870E+00  5.17607338E-02
