# PIMCID: 14dbdcb7-85e0-42ce-b998-6466ee85dd3e
#           K_op            K_cv            V_op            V_cv               E            E_mu          K_op/N          K_cv/N          V_op/N          V_cv/N             E/N     EEcv*Beta^2        Ecv*Beta            dEdB          CvCov1          CvCov2          CvCov3            E_th               P
  6.06616591E+01  2.81479237E+00  1.96576398E+00  1.96543599E+00  4.78022835E+00  4.56022835E+00  1.40723219E+00  1.40739618E+00  9.82881990E-01  9.82717993E-01  2.39011418E+00  5.41435395E+01  2.39011418E+00  4.71871433E+01  2.43754630E+02  0.00000000E+00  2.31935521E+03  2.08884145E+00 -8.59313840E-02
  6.41214250E+01  2.05387755E+00  2.69219170E+00  2.69177279E+00  4.74565034E+00  4.52565034E+00  1.02672932E+00  1.02693878E+00  1.34609585E+00  1.34588639E+00  2.37282517E+00  4.76853045E+01  2.37282517E+00  4.79480534E+01  2.02809382E+02  0.00000000E+00  2.10331480E+03  6.67326863E+00  2.63560765E-01
  7.89265428E+01  3.79085243E+00  1.62288844E+00  1.62344998E+00  5.41430241E+00  5.19430241E+00  1.89570699E+00  1.89542621E+00  8.11444220E-01  8.11724992E-01  2.70715121E+00  4.88311526E+01  2.70715121E+00  4.62111617E+01  2.99450573E+02  0.00000000E+00  1.93109313E+03  5.02672756E+00  2.59155150E-01
  4.66631586E+01  3.24387627E+00  1.01447132E+00  1.01472803E+00  4.25860431E+00  4.03860431E+00  1.62206649E+00  1.62193814E+00  5.07235661E-01  5.07364016E-01  2.12930215E+00  5.20968318E+01  2.12930215E+00  4.67581127E+01  2.04793376E+02  0.00000000E+00  2.24519425E+03  5.52394303E+00  4.00185031E-01
 -1.06995201E+01  9.90471862E-02  1.64437296E+00  1.64419827E+00  1.74324546E+00  1.52324546E+00  4.94362502E-02  4.95235931E-02  8.22186480E-01  8.22099137E-01  8.71622731E-01  4.88561343E+01  8.71622731E-01  4.99029444E+01  5.56884577E+01  0.00000000E+00  2.41366370E+03  2.70086419E+00  2.34565685E-02
  2.37211172E+01  1.27204846E+00  1.93489106E+00  1.93511398E+00  3.20716244E+00  2.98716244E+00  6.36135689E-01  6.36024228E-01  9.67445529E-01  9.67556990E-01  1.60358122E+00  4.83439666E+01  1.60358122E+00  4.87299649E+01 -1.26520038E+01  0.00000000E+00  2.51104919E+03  2.73373463E+00 -1.68937628E-02
 -5.66410867E+01 -6.97941805E-02  6.57424581E-01  6.57243890E-01  5.87449709E-01  3.67449709E-01 -3.49874358E-02 -3.48970902E-02  3.28712291E-01  3.28621945E-01  2.93724855E-01  6.16079143E+01  2.93724855E-01  5.00717822E+01 -1.83900805E+02  0.00000000E+00  3.47954288E+03 -4.42364410E-01 -1.42823068E-01
  7.01847223E+01  2.83688942E+00  2.33816954E+00  2.33787433E+00  5.17476375E+00  4.95476375E+00  1.41829710E+00  1.41844471E+00  1.16908477E+00  1.16893717E+00  2.58738187E+00  5.61561019E+01  2.58738187E+00  4.71650483E+01  2.87925848E+02  0.00000000E+00  2.36347357E+03  7.87033261E+00  4.36351956E-01
  5.17527511E+01  2.91169071E+00  1.45220778E+00  1.45234373E+00  4.36403444E+00  4.14403444E+00  1.45591333E+00  1.45584536E+00  7.26103892E-01  7.26171865E-01  2.18201722E+00  4.89365659E+01  2.18201722E+00  4.70902944E+01  1.97494800E+02  0.00000000E+00  2.11899179E+03  3.80591350E+00  1.62739693E-01
  7.39010604E+01  2.36561303E+00  3.32192722E+00  3.32138078E+00  5.68699382E+00  5.46699382E+00  1.18253330E+00  1.18280652E+00  1.66096361E+00  1.66069039E+00  2.84349691E+00  6.39990309E+01  2.84349691E+00  4.76363180E+01  2.47010236E+02  0.00000000E+00  2.92411421E+03  2.58567332E+00 -2.39640007E-01
  7.37011103E+01  3.47247881E+00  1.88061880E+00  1.88049003E+00  5.35296884E+00  5.13296884E+00  1.73617502E+00  1.73623940E+00  9.40309398E-01  9.40245015E-01  2.67648442E+00  5.57877058E+01  2.67648442E+00  4.65294700E+01  2.87933457E+02  0.00000000E+00  2.34720608E+03  6.13362846E+00  3.31289216E-01
  2.48157610E+01  4.25686910E-01  3.19240205E+00  3.19227254E+00  3.61795945E+00  3.39795945E+00  2.12778700E-01  2.12843455E-01  1.59620103E+00  1.59613627E+00  1.80897973E+00  5.91178806E+01  1.80897973E+00  4.95762972E+01  1.66962734E+02  0.00000000E+00  2.80676067E+03  5.80195029E+00  1.01353935E-01
  2.95620580E+00  1.09505616E+00  1.10578958E+00  1.10568907E+00  2.20074523E+00  1.98074523E+00  5.47477826E-01  5.47528079E-01  5.52894790E-01  5.52844536E-01  1.10037262E+00  4.55914946E+01  1.10037262E+00  4.89069170E+01  1.38779932E+02  0.00000000E+00  2.05562900E+03  3.24840592E+00  1.58987157E-01
 -7.76504261E+00  1.35519241E+00  9.76934910E-01  9.76835886E-01  2.33202830E+00  2.11202830E+00  6.77546695E-01  6.77596206E-01  4.88467455E-01  4.88417943E-01  1.16601415E+00  5.82335642E+01  1.16601415E+00  4.86467881E+01  2.46540030E+01  0.00000000E+00  2.90833563E+03  1.39969945E+00 -6.55550353E-03
  2.42559160E+01  2.23528245E+00  1.24327353E+00  1.24334601E+00  3.47862846E+00  3.25862846E+00  1.11767746E+00  1.11764122E+00  6.21636767E-01  6.21673005E-01  1.73931423E+00  4.51976114E+01  1.73931423E+00  4.77666939E+01  1.86187438E+02  0.00000000E+00  1.93997849E+03  2.85848439E+00  9.93464549E-02
 -2.46058910E+01 -1.39697577E+00  2.39695182E+00  2.39719514E+00  1.00021937E+00  7.80219373E-01 -6.98366223E-01 -6.98487883E-01  1.19847591E+00  1.19859757E+00  5.00109687E-01  3.79755348E+01  5.00109687E-01  5.13990251E+01  2.99327585E+01  0.00000000E+00  1.92449283E+03  1.27268808E+00 -2.32310622E-01
  2.24299405E+01  2.03708612E+00  1.57102733E+00  1.57130770E+00  3.60839382E+00  3.38839382E+00  1.01868324E+00  1.01854306E+00  7.85513666E-01  7.85653849E-01  1.80419691E+00  5.48170956E+01  1.80419691E+00  4.79649075E+01  2.05287344E+02  0.00000000E+00  2.42314609E+03  4.37734840E+00  2.02038580E-01
