# PIMCID: 0242cbff-8227-47a9-96e1-d4194c6c0592
#           K_op            K_cv            V_op            V_cv               E            E_mu          K_op/N          K_cv/N          V_op/N          V_cv/N             E/N     EEcv*Beta^2        Ecv*Beta            dEdB          CvCov1          CvCov2          CvCov3            E_th               P
  1.05058575E+01  7.78750416E-01  3.69740892E+00  3.69756564E+00  4.47631606E+00  4.25631606E+00  3.89453567E-01  3.89375208E-01  1.84870446E+00  1.84878282E+00  2.23815803E+00  4.57427521E+01  1.49210535E+00  3.26821754E+01  1.82211049E+02  0.00000000E+00  1.32024588E+03  6.35494747E+00  8.08596525E-02
  3.52412851E+01  1.12238952E+00  5.98083898E+00  5.98041767E+00  7.10280719E+00  6.88280719E+00  5.60984105E-01  5.61194762E-01  2.99041949E+00  2.99020883E+00  3.55140360E+00  4.60845805E+01  2.36760240E+00  3.24530495E+01  2.33012311E+02  0.00000000E+00  1.28631927E+03  7.21427262E+00 -1.75635790E-01
 -1.01697907E+01  5.55156197E-01  2.47717588E+00  2.47698095E+00  3.03213715E+00  2.81213715E+00  2.77480635E-01  2.77578099E-01  1.23858794E+00  1.23849048E+00  1.51606858E+00  3.87746906E+01  1.01071238E+00  3.28312194E+01  5.12226122E+01  0.00000000E+00  1.25373564E+03  8.58952890E-01 -2.85652020E-01
  6.79113737E+00  2.14003040E+00  2.06634284E+00  2.06634948E+00  4.20637988E+00  3.98637988E+00  1.07001852E+00  1.07001520E+00  1.03317142E+00  1.03317474E+00  2.10318994E+00  3.51190271E+01  1.40212663E+00  3.17746335E+01  9.44651036E+01  0.00000000E+00  1.04148379E+03  4.24484960E+00  1.14532398E-01
  2.71440941E+01  3.53349354E+00  2.58362734E+00  2.58351350E+00  6.11700704E+00  5.89700704E+00  1.76668985E+00  1.76674677E+00  1.29181367E+00  1.29175675E+00  3.05850352E+00  3.69959926E+01  2.03900235E+00  3.08456407E+01  1.49034141E+02  0.00000000E+00  9.96184556E+02  9.02754952E+00  5.15227753E-01
  4.08467098E+01  4.39588897E+00  2.71088998E+00  2.71083522E+00  7.10672419E+00  6.88672419E+00  2.19791711E+00  2.19794449E+00  1.35544499E+00  1.35541761E+00  3.55336210E+00  3.33493406E+01  2.36890806E+00  3.02707163E+01  1.49399064E+02  0.00000000E+00  8.73299284E+02  7.43588565E+00  3.36963100E-01
 -1.60641322E+01 -2.57014540E-01  2.79492136E+00  2.79445660E+00  2.53744206E+00  2.31744206E+00 -1.28739652E-01 -1.28507270E-01  1.39746068E+00  1.39722830E+00  1.26872103E+00  4.07276737E+01  8.45814019E-01  3.33726571E+01  2.70945133E+00  0.00000000E+00  1.42285303E+03  1.43766355E+00 -2.75402322E-01
  2.55499937E+01  3.10961426E+00  2.95691915E+00  2.95656162E+00  6.06617588E+00  5.84617588E+00  1.55462837E+00  1.55480713E+00  1.47845958E+00  1.47828081E+00  3.03308794E+00  3.87553921E+01  2.02205863E+00  3.11282206E+01  1.47578770E+02  0.00000000E+00  1.08722431E+03  7.42997992E+00  2.99513550E-01
  6.51956382E+01  4.14105673E+00  5.03081552E+00  5.03088950E+00  9.17194624E+00  8.95194624E+00  2.07056536E+00  2.07052837E+00  2.51540776E+00  2.51544475E+00  4.58597312E+00  3.74342703E+01  3.05731541E+00  3.04406035E+01  2.31041178E+02  0.00000000E+00  9.15251024E+02  9.00424543E+00  1.45790779E-01
  2.45018622E+01  2.70401905E+00  2.69989845E+00  2.69917923E+00  5.40319828E+00  5.18319828E+00  1.35164991E+00  1.35200952E+00  1.34994923E+00  1.34958962E+00  2.70159914E+00  3.27660828E+01  1.80106609E+00  3.13985983E+01  1.17447039E+02  0.00000000E+00  9.21584985E+02  2.49594834E+00 -1.55282232E-01
  2.88089709E+01  3.16395463E+00  2.94326578E+00  2.94317584E+00  6.10713047E+00  5.88713047E+00  1.58193235E+00  1.58197732E+00  1.47163289E+00  1.47158792E+00  3.05356523E+00  3.82350206E+01  2.03571016E+00  3.10920142E+01  1.49758780E+02  0.00000000E+00  1.06628859E+03  4.96513169E+00  5.50365956E-02
  1.73556605E+01  1.98453901E+00  2.35864760E+00  2.35833351E+00  4.34287253E+00  4.12287253E+00  9.92112462E-01  9.92269507E-01  1.17932380E+00  1.17916676E+00  2.17143626E+00  2.84295311E+01  1.44762418E+00  3.18782780E+01  6.53777313E+01  0.00000000E+00  8.58581195E+02  4.26303907E+00  7.25537211E-02
  3.66823024E+01  2.86851324E+00  3.67111465E+00  3.67076841E+00  6.53928166E+00  6.31928166E+00  1.43408350E+00  1.43425662E+00  1.83555732E+00  1.83538421E+00  3.26964083E+00  2.83766534E+01  2.17976055E+00  3.12889642E+01  1.50608829E+02  0.00000000E+00  7.13059310E+02  1.48638102E+00 -4.01977407E-01
  1.30289580E+01  3.57662092E+00  7.31007518E-01  7.31170763E-01  4.30779168E+00  4.08779168E+00  1.78839208E+00  1.78831046E+00  3.65503759E-01  3.65585381E-01  2.15389584E+00  3.24173368E+01  1.43593056E+00  3.08169119E+01  7.87723685E+01  0.00000000E+00  9.34015159E+02  2.66247151E+00  1.56571488E-01
  5.78208032E+00  2.62165717E+00  2.12929725E+00  2.12946291E+00  4.75112008E+00  4.53112008E+00  1.31091141E+00  1.31082858E+00  1.06464862E+00  1.06473146E+00  2.37556004E+00  4.03790799E+01  1.58370669E+00  3.14535691E+01  9.01926237E+01  0.00000000E+00  1.21344842E+03  2.33684407E+00 -8.57351731E-02
  7.12954197E+01  5.03103294E+00  5.06153434E+00  5.06126463E+00  1.00922976E+01  9.87229757E+00  2.51538161E+00  2.51551647E+00  2.53076717E+00  2.53063232E+00  5.04614879E+00  4.46865161E+01  3.36409919E+00  2.98472716E+01  2.67065949E+02  0.00000000E+00  1.12361542E+03  1.04421432E+01  2.85024286E-01
  2.73453951E+01  2.02860198E+00  3.63049247E+00  3.63008502E+00  5.65868700E+00  5.43868700E+00  1.01409726E+00  1.01430099E+00  1.81524623E+00  1.81504251E+00  2.82934350E+00  3.78615053E+01  1.88622900E+00  3.18488921E+01  1.48029719E+02  0.00000000E+00  1.07310223E+03  7.43145365E+00  1.98632368E-01
 -1.75221950E+00  7.92296582E-01  2.27459628E+00  2.27482016E+00  3.06711674E+00  2.84711674E+00  3.96260230E-01  3.96148291E-01  1.13729814E+00  1.13741008E+00  1.53355837E+00  2.76939682E+01  1.02237225E+00  3.26731487E+01  8.78270088E+01  0.00000000E+00  7.91397302E+02  3.64518384E+00  2.32952075E-02
 -5.75128252E+00  1.28587778E+00  1.33465473E+00  1.33480658E+00  2.62068436E+00  2.40068436E+00  6.43014813E-01  6.42938888E-01  6.67327366E-01  6.67403290E-01  1.31034218E+00  3.23861885E+01  8.73561452E-01  3.23440832E+01  4.34016677E+01  0.00000000E+00  1.01980882E+03  2.18433128E+00  1.82120510E-02
  4.20645308E+01  5.30298054E+00  1.60201663E+00  1.60199533E+00  6.90497586E+00  6.68497586E+00  2.65147962E+00  2.65149027E+00  8.01008314E-01  8.00997663E-01  3.45248793E+00  2.81382882E+01  2.30165862E+00  2.96659764E+01  1.59941286E+02  0.00000000E+00  6.47780783E+02  7.89183612E+00  5.48884205E-01
  9.68988849E+00  1.83895249E+00  2.19211472E+00  2.19175396E+00  4.03070645E+00  3.81070645E+00  9.19295863E-01  9.19476243E-01  1.09605736E+00  1.09587698E+00  2.01535322E+00  3.32866121E+01  1.34356882E+00  3.19753262E+01  8.15666384E+01  0.00000000E+00  9.89921203E+02  5.81794109E+00  2.53030868E-01
 -4.43688228E+00  4.01684388E-01  2.23291867E+00  2.23256178E+00  2.63424616E+00  2.41424616E+00  2.00663748E-01  2.00842194E-01  1.11645933E+00  1.11628089E+00  1.31712308E+00  2.97597198E+01  8.78082055E-01  3.29335260E+01  5.01997046E+01  0.00000000E+00  9.34325619E+02  2.04687190E+00 -1.30197226E-01
  3.17159632E+01  3.20122256E+00  2.77017288E+00  2.77031619E+00  5.97153874E+00  5.75153874E+00  1.60068293E+00  1.60061128E+00  1.38508644E+00  1.38515809E+00  2.98576937E+00  3.19884483E+01  1.99051291E+00  3.10671810E+01  1.50560640E+02  0.00000000E+00  8.23200677E+02  6.62621065E+00  2.47073451E-01
  1.45114415E+01  2.16022056E+00  2.46443678E+00  2.46440433E+00  4.62462489E+00  4.40462489E+00  1.08009406E+00  1.08011028E+00  1.23221839E+00  1.23220217E+00  2.31231245E+00  3.63623250E+01  1.54154163E+00  3.17611769E+01  8.76631720E+01  0.00000000E+00  1.11162535E+03  4.47652889E+00  7.79920736E-02
 -1.47217249E+01  1.33623837E+00  7.06905803E-01  7.06737325E-01  2.04297569E+00  1.82297569E+00  6.68034945E-01  6.68119185E-01  3.53452902E-01  3.53368662E-01  1.02148785E+00  3.51637000E+01  6.80991898E-01  3.23104916E+01  8.62610969E+01  0.00000000E+00  1.01268570E+03  1.66709552E+00  6.06989057E-02
  1.13221946E+01  2.23928635E+00  2.10366192E+00  2.10346195E+00  4.34274830E+00  4.12274830E+00  1.11954319E+00  1.11964317E+00  1.05183096E+00  1.05173097E+00  2.17137415E+00  3.43502175E+01  1.44758277E+00  3.17084531E+01  5.50749237E+01  0.00000000E+00  1.07954084E+03  4.23364731E+00  1.07845298E-01
  3.04661980E+00  7.42861611E-01  3.32169678E+00  3.32174608E+00  4.06460769E+00  3.84460769E+00  3.71455453E-01  3.71430806E-01  1.66084839E+00  1.66087304E+00  2.03230384E+00  3.48602336E+01  1.35486923E+00  3.27061010E+01  5.99708937E+01  0.00000000E+00  1.12271486E+03  3.62515751E+00 -1.35746383E-01
  3.49685893E+01  4.33524921E+00  2.11961585E+00  2.11938524E+00  6.45463444E+00  6.23463444E+00  2.16750930E+00  2.16762460E+00  1.05980793E+00  1.05969262E+00  3.22731722E+00  3.56944916E+01  2.15154481E+00  3.03111220E+01  1.65986906E+02  0.00000000E+00  9.03088337E+02  6.28513430E+00  3.10605502E-01
  1.06516147E+01  9.12016015E-01  3.19910943E+00  3.19891439E+00  4.11093041E+00  3.89093041E+00  4.55910487E-01  4.56008008E-01  1.59955472E+00  1.59945720E+00  2.05546520E+00  3.39424881E+01  1.37031014E+00  3.25933096E+01  6.01222460E+01  0.00000000E+00  1.08322877E+03  4.45144947E+00 -3.46924270E-02
  4.60205108E+00  2.00743089E+00  1.50765859E+00  1.50762827E+00  3.51505916E+00  3.29505916E+00  1.00370029E+00  1.00371545E+00  7.53829293E-01  7.53814135E-01  1.75752958E+00  3.27141854E+01  1.17168639E+00  3.18630316E+01  7.98744473E+01  0.00000000E+00  9.61189167E+02  7.02998373E+00  4.76854031E-01
  4.39575808E+00  8.82860667E-01  2.76799676E+00  2.76766099E+00  3.65052166E+00  3.43052166E+00  4.41262449E-01  4.41430334E-01  1.38399838E+00  1.38383050E+00  1.82526083E+00  3.47374856E+01  1.21684055E+00  3.26127336E+01  8.78738289E+01  0.00000000E+00  1.04813880E+03  1.73001263E+00 -2.42148072E-01
  3.09804823E+00  1.47151191E+00  2.16097494E+00  2.16092467E+00  3.63243658E+00  3.41243658E+00  7.35730820E-01  7.35755953E-01  1.08048747E+00  1.08046234E+00  1.81621829E+00  3.05662091E+01  1.21081219E+00  3.22203198E+01  6.52252374E+01  0.00000000E+00  9.36920505E+02  3.12496875E+00 -1.16419716E-02
  3.52710800E+01  4.08174511E+00  2.71422639E+00  2.71426841E+00  6.79601352E+00  6.57601352E+00  2.04089356E+00  2.04087256E+00  1.35711320E+00  1.35713420E+00  3.39800676E+00  4.20731405E+01  2.26533784E+00  3.04801406E+01  1.69833149E+02  0.00000000E+00  1.14181146E+03  8.93493278E+00  4.86352834E-01
  1.03983783E+00  2.11270841E+00  1.58337033E+00  1.58325728E+00  3.69596569E+00  3.47596569E+00  1.05629768E+00  1.05635420E+00  7.91685165E-01  7.91628641E-01  1.84798284E+00  3.81681487E+01  1.23198856E+00  3.17928500E+01  5.10846909E+01  0.00000000E+00  1.21297848E+03  7.78645794E-01 -1.59624119E-01
  3.60662201E+01  1.85081811E+00  4.72532174E+00  4.72562589E+00  6.57644400E+00  6.35644400E+00  9.25561131E-01  9.25409056E-01  2.36266087E+00  2.36281294E+00  3.28822200E+00  3.30100439E+01  2.19214800E+00  3.19674779E+01  1.39643041E+02  0.00000000E+00  9.16406790E+02  5.71010769E+00 -1.37833431E-01
  1.33296585E+01  4.06701480E+00  3.19236573E-01  3.19297017E-01  4.38631182E+00  4.16631182E+00  2.03353762E+00  2.03350740E+00  1.59618287E-01  1.59648509E-01  2.19315591E+00  3.51521681E+01  1.46210394E+00  3.04899623E+01  7.22351901E+01  0.00000000E+00  1.03114981E+03  4.82623844E+00  4.34729270E-01
  5.29507834E+01  3.05138648E+00  5.08876697E+00  5.08803736E+00  8.13942384E+00  7.91942384E+00  1.52532843E+00  1.52569324E+00  2.54438348E+00  2.54401868E+00  4.06971192E+00  4.09053925E+01  2.71314128E+00  3.11670147E+01  2.35615517E+02  0.00000000E+00  1.03108254E+03  8.77516749E+00  1.14310804E-01
  2.19554603E+01  6.09588427E-02  5.49449633E+00  5.49449912E+00  5.55545797E+00  5.33545797E+00  3.04808186E-02  3.04794213E-02  2.74724816E+00  2.74724956E+00  2.77772898E+00  3.24201517E+01  1.85181932E+00  3.31607189E+01  1.10719449E+02  0.00000000E+00  9.84790617E+02 -1.59816434E-01 -8.40156881E-01
  3.36602823E+01  4.09314259E+00  2.93466416E+00  2.93458735E+00  7.02772994E+00  6.80772994E+00  2.04653289E+00  2.04657129E+00  1.46733208E+00  1.46729368E+00  3.51386497E+00  4.03016300E+01  2.34257665E+00  3.04725453E+01  1.60502860E+02  0.00000000E+00  1.09251308E+03  4.89713745E+00  4.95254453E-02
