# PIMCID: db8f4d4e-2831-4f7b-86c1-fd489416a2f0
#           K_op            K_cv            V_op            V_cv               E            E_mu          K_op/N          K_cv/N          V_op/N          V_cv/N             E/N     EEcv*Beta^2        Ecv*Beta            dEdB          CvCov1          CvCov2          CvCov3            E_th               P
  1.53796139E+01  2.66196331E+00  5.30613059E+00  5.30611527E+00  7.96807859E+00  7.74807859E+00  1.33097400E+00  1.33098166E+00  2.65306529E+00  2.65305764E+00  3.98403929E+00  2.54435691E+01  1.77068413E+00  2.08177928E+01  1.05318735E+02  0.00000000E+00  4.24045774E+02  9.68245026E+00  1.72327374E-01
  1.14907919E+01  2.82353737E+00  4.48570912E+00  4.48560558E+00  7.30914295E+00  7.08914295E+00  1.41171692E+00  1.41176869E+00  2.24285456E+00  2.24280279E+00  3.65457147E+00  2.53387380E+01  1.62425399E+00  2.07459859E+01  5.98425453E+01  0.00000000E+00  4.93967467E+02  2.54737676E+00 -4.18103465E-01
  9.79801720E+00  4.49982779E+00  2.37808957E+00  2.37770939E+00  6.87753718E+00  6.65753718E+00  2.24972381E+00  2.24991390E+00  1.18904478E+00  1.18885469E+00  3.43876859E+00  2.51735798E+01  1.52834160E+00  2.00009350E+01  4.20225491E+01  0.00000000E+00  4.97363403E+02  6.08543746E+00  2.51887176E-01
  1.75234324E+01  4.31096317E+00  4.45063496E+00  4.45073041E+00  8.76169357E+00  8.54169357E+00  2.15552931E+00  2.15548158E+00  2.22531748E+00  2.22536520E+00  4.38084679E+00  2.43066249E+01  1.94704302E+00  2.00849026E+01  9.70144885E+01  0.00000000E+00  3.99366126E+02  6.36990041E+00 -3.06198226E-02
  5.25934317E+00  1.74357086E+00  5.02607374E+00  5.02642637E+00  6.76999724E+00  6.54999724E+00  8.71961750E-01  8.71785432E-01  2.51303687E+00  2.51321319E+00  3.38499862E+00  2.79803636E+01  1.50444383E+00  2.12259922E+01  4.65596734E+01  0.00000000E+00  5.94512827E+02  3.24816476E+00 -4.29147822E-01
  4.74166446E+01  6.49049802E+00  7.84828154E+00  7.84959809E+00  1.43400961E+01  1.41200961E+01  3.24590729E+00  3.24524901E+00  3.92414077E+00  3.92479905E+00  7.17004806E+00  2.96167392E+01  3.18668802E+00  1.91162590E+01  1.75421359E+02  0.00000000E+00  4.18640383E+02  1.43826287E+01  2.60822617E-01
  3.06078386E+01  5.73959357E+00  5.41951805E+00  5.42048493E+00  1.11600785E+01  1.09400785E+01  2.87028023E+00  2.86979678E+00  2.70975902E+00  2.71024247E+00  5.58003925E+00  2.93827760E+01  2.48001745E+00  1.94499789E+01  1.39291827E+02  0.00000000E+00  4.50404151E+02  1.46840527E+01  6.55332161E-01
  4.84016801E+00  4.25586789E+00  2.66809019E+00  2.66818430E+00  6.92405219E+00  6.70405219E+00  2.12798100E+00  2.12793395E+00  1.33404509E+00  1.33409215E+00  3.46202610E+00  2.74771860E+01  1.53867827E+00  2.01093855E+01  4.96778458E+01  0.00000000E+00  5.43580079E+02  5.73596429E+00  1.73368602E-01
  2.45467014E+01  4.51543925E+00  5.85090705E+00  5.85082271E+00  1.03662620E+01  1.01462620E+01  2.25767745E+00  2.25771963E+00  2.92545353E+00  2.92541136E+00  5.18313098E+00  2.81156029E+01  2.30361377E+00  1.99940055E+01  1.24978012E+02  0.00000000E+00  4.45461800E+02  1.46800955E+01  5.90385748E-01
  2.14029674E+01  3.68039473E+00  5.53481518E+00  5.53429848E+00  9.21469321E+00  8.99469321E+00  1.83993901E+00  1.84019736E+00  2.76740759E+00  2.76714924E+00  4.60734660E+00  2.44322868E+01  2.04770960E+00  2.03651244E+01  9.03099251E+01  0.00000000E+00  4.27057041E+02  8.14281555E+00 -1.58635937E-02
  2.33268550E+01  5.40760212E+00  4.02550131E+00  4.02469552E+00  9.43229764E+00  9.21229764E+00  2.70339816E+00  2.70380106E+00  2.01275066E+00  2.01234776E+00  4.71614882E+00  2.91606577E+01  2.09606614E+00  1.95974550E+01  1.27742894E+02  0.00000000E+00  4.47577939E+02  1.42813171E+01  8.24427112E-01
  1.77418376E+01  5.82461097E+00  2.43044089E+00  2.43069065E+00  8.25530163E+00  8.03530163E+00  2.91243037E+00  2.91230549E+00  1.21522044E+00  1.21534533E+00  4.12765081E+00  2.39407129E+01  1.83451147E+00  1.94121670E+01  6.80940918E+01  0.00000000E+00  4.21301994E+02  8.41846115E+00  4.77242351E-01
  2.63330025E+01  4.61537299E+00  4.91648172E+00  4.91555785E+00  9.53093085E+00  9.31093085E+00  2.30722456E+00  2.30768650E+00  2.45824086E+00  2.45777893E+00  4.76546542E+00  2.37606018E+01  2.11798463E+00  1.99495596E+01  9.58148117E+01  0.00000000E+00  3.86119391E+02  1.13727581E+01  3.99941802E-01
  2.18037500E+01  5.13019624E+00  4.72941144E+00  4.72898083E+00  9.85917707E+00  9.63917707E+00  2.56488281E+00  2.56509812E+00  2.36470572E+00  2.36449042E+00  4.92958854E+00  2.87467283E+01  2.19092824E+00  1.97207703E+01  1.03852827E+02  0.00000000E+00  4.94583112E+02  9.04579541E+00  1.95232094E-01
  2.88683437E+01  5.07259996E+00  5.90942934E+00  5.90871554E+00  1.09813155E+01  1.07613155E+01  2.53594308E+00  2.53629998E+00  2.95471467E+00  2.95435777E+00  5.49065775E+00  3.17784818E+01  2.44029233E+00  1.97463565E+01  1.82483247E+02  0.00000000E+00  4.97936414E+02  9.57659147E+00  7.13514139E-02
  1.62556832E+01  2.92431396E+00  6.11873450E+00  6.11831808E+00  9.04263204E+00  8.82263204E+00  1.46194877E+00  1.46215698E+00  3.05936725E+00  3.05915904E+00  4.52131602E+00  2.68516372E+01  2.00947379E+00  2.07011782E+01  1.03256175E+02  0.00000000E+00  4.78978275E+02  7.84341673E+00 -1.33406455E-01
  5.33144110E+00  3.50239220E+00  2.41848709E+00  2.41926475E+00  5.92165695E+00  5.70165695E+00  1.75158493E+00  1.75119610E+00  1.20924355E+00  1.20963237E+00  2.96082847E+00  2.26679026E+01  1.31592377E+00  2.04442985E+01  5.19887121E+01  0.00000000E+00  4.17976108E+02  9.32338881E+00  5.69449005E-01
  2.01611085E+01  6.11844629E+00  2.27691081E+00  2.27737956E+00  8.39582585E+00  8.17582585E+00  3.05945752E+00  3.05922315E+00  1.13845540E+00  1.13868978E+00  4.19791293E+00  2.22472674E+01  1.86573908E+00  1.92815782E+01  8.88989278E+01  0.00000000E+00  3.34945155E+02  7.27926758E+00  3.86319670E-01
  2.35381986E+01  3.99390834E+00  4.85391901E+00  4.85474648E+00  8.84865482E+00  8.62865482E+00  1.99736790E+00  1.99695417E+00  2.42695950E+00  2.42737324E+00  4.42432741E+00  2.22791114E+01  1.96636774E+00  2.02258505E+01  9.55191538E+01  0.00000000E+00  3.70895493E+02  5.76885258E+00 -1.51327044E-01
  9.88828445E+00  2.63571964E+00  3.73001783E+00  3.72997197E+00  6.36569161E+00  6.14569161E+00  1.31783689E+00  1.31785982E+00  1.86500891E+00  1.86498598E+00  3.18284581E+00  2.05503992E+01  1.41459814E+00  2.08294544E+01  4.70391428E+01  0.00000000E+00  3.95769324E+02  6.47858339E+00  8.83622896E-02
  2.28119665E+01  4.95008282E+00  5.04422333E+00  5.04491245E+00  9.99499527E+00  9.77499527E+00  2.47538597E+00  2.47504141E+00  2.52211166E+00  2.52245622E+00  4.99749764E+00  2.70104218E+01  2.22111006E+00  1.98008713E+01  1.17030835E+02  0.00000000E+00  4.29830487E+02  9.30626195E+00  1.73888985E-01
