# PIMCID: d6b87bce-822e-4e3a-af27-ec650cb349a1
#           K_op            K_cv            V_op            V_cv               E            E_mu          K_op/N          K_cv/N          V_op/N          V_cv/N             E/N     EEcv*Beta^2        Ecv*Beta            dEdB          CvCov1          CvCov2          CvCov3            E_th               P
  1.65086356E+01  4.65722484E+00  5.36695425E+00  5.36688189E+00  1.00241067E+01  9.80410673E+00  2.32857624E+00  2.32861242E+00  2.68347713E+00  2.68344094E+00  5.01205336E+00  1.94390224E+01  1.82256486E+00  1.63071849E+01  6.93118783E+01  0.00000000E+00  2.52768577E+02  8.23031898E+00  1.79992496E-02
  2.01151297E+01  5.02655488E+00  7.11642887E+00  7.11590746E+00  1.21424623E+01  1.19224623E+01  2.51301673E+00  2.51327744E+00  3.55821444E+00  3.55795373E+00  6.07123117E+00  2.24815428E+01  2.20772043E+00  1.61728604E+01  8.51838991E+01  0.00000000E+00  2.98588121E+02  1.21947901E+01  1.52092406E-01
  1.40023229E+01  5.53001092E+00  4.14819483E+00  4.14804220E+00  9.67805312E+00  9.45805312E+00  2.76492914E+00  2.76500546E+00  2.07409742E+00  2.07402110E+00  4.83902656E+00  2.08891349E+01  1.75964602E+00  1.59897990E+01  6.21213968E+01  0.00000000E+00  2.89717372E+02  8.38651000E+00  2.16444387E-01
  1.81258595E+01  6.48777289E+00  4.49098997E+00  4.49194820E+00  1.09797211E+01  1.07597211E+01  3.24436556E+00  3.24388645E+00  2.24549498E+00  2.24597410E+00  5.48986055E+00  2.05682892E+01  1.99631293E+00  1.56415561E+01  7.72877950E+01  0.00000000E+00  2.52981750E+02  1.12734043E+01  4.53547894E-01
  1.84709788E+01  5.38958771E+00  6.23951021E+00  6.23944742E+00  1.16290351E+01  1.14090351E+01  2.69476246E+00  2.69479386E+00  3.11975510E+00  3.11972371E+00  5.81451756E+00  2.24377233E+01  2.11437002E+00  1.60408691E+01  1.15961500E+02  0.00000000E+00  2.49587322E+02  1.08114852E+01  1.45230987E-01
  2.44228010E+01  5.70569326E+00  7.20034126E+00  7.19950752E+00  1.29052008E+01  1.26852008E+01  2.85242976E+00  2.85284663E+00  3.60017063E+00  3.59975376E+00  6.45260039E+00  2.42691815E+01  2.34640014E+00  1.59258867E+01  1.09958142E+02  0.00000000E+00  3.00016276E+02  1.27541320E+01  1.95486586E-01
  2.50822871E+01  6.52547622E+00  6.31676163E+00  6.31684953E+00  1.28423258E+01  1.26223258E+01  3.26278206E+00  3.26273811E+00  3.15838081E+00  3.15842477E+00  6.42116288E+00  2.11596091E+01  2.33496832E+00  1.56278107E+01  8.50800938E+01  0.00000000E+00  2.62405479E+02  1.23005840E+01  2.82530542E-01
  1.67282444E+01  4.61453799E+00  5.94282782E+00  5.94295016E+00  1.05574881E+01  1.03374881E+01  2.30733016E+00  2.30726900E+00  2.97141391E+00  2.97147508E+00  5.27874407E+00  2.17210470E+01  1.91954330E+00  1.63227092E+01  8.88672536E+01  0.00000000E+00  2.84065939E+02  8.88399892E+00 -3.04303510E-03
  1.98936231E+01  6.70173667E+00  4.85589852E+00  4.85608905E+00  1.15578257E+01  1.13378257E+01  3.35096360E+00  3.35086833E+00  2.42794926E+00  2.42804452E+00  5.77891286E+00  2.29075117E+01  2.10142286E+00  1.55637211E+01  1.04445759E+02  0.00000000E+00  2.68122356E+02  1.09884041E+01  3.70426718E-01
  1.29338984E+01  4.70584557E+00  4.92218199E+00  4.92225636E+00  9.62810192E+00  9.40810192E+00  2.35295997E+00  2.35292278E+00  2.46109099E+00  2.46112818E+00  4.81405096E+00  2.00167521E+01  1.75056399E+00  1.62895108E+01  6.22460562E+01  0.00000000E+00  2.75299032E+02  7.04396003E+00 -3.39427859E-02
