# PIMCID: 1cbd0cb4-3d88-4532-af76-1260d297a515
#           K_op            K_cv            V_op            V_cv               E            E_mu          K_op/N          K_cv/N          V_op/N          V_cv/N             E/N     EEcv*Beta^2        Ecv*Beta            dEdB          CvCov1          CvCov2          CvCov3            E_th               P
  1.27628011E+01  6.96527877E+00  7.25018209E+00  7.24942580E+00  1.42147046E+01  1.39947046E+01  3.48226124E+00  3.48263939E+00  3.62509104E+00  3.62471290E+00  7.10735229E+00  1.89617813E+01  1.89529394E+00  1.13430900E+01  7.30064191E+01  0.00000000E+00  1.59265851E+02  1.61681720E+01  5.29402833E-01
  5.66398567E+00  4.80703719E+00  5.73453087E+00  5.73486682E+00  1.05419040E+01  1.03219040E+01  2.40368657E+00  2.40351860E+00  2.86726543E+00  2.86743341E+00  5.27095201E+00  1.62811205E+01  1.40558720E+00  1.19186611E+01  3.93116501E+01  0.00000000E+00  1.69398169E+02  1.11365345E+01  2.53423033E-01
  1.47907419E+01  7.35106463E+00  5.99672389E+00  5.99745701E+00  1.33485216E+01  1.31285216E+01  3.67589887E+00  3.67553231E+00  2.99836195E+00  2.99872851E+00  6.67426082E+00  1.59895970E+01  1.77980289E+00  1.12402566E+01  4.82388758E+01  0.00000000E+00  1.49664175E+02  1.24046496E+01  3.40846004E-01
  9.58772823E+00  5.35540379E+00  6.95815198E+00  6.95829017E+00  1.23136940E+01  1.20936940E+01  2.67777099E+00  2.67770190E+00  3.47907599E+00  3.47914509E+00  6.15684698E+00  1.44886447E+01  1.64182586E+00  1.17724241E+01  4.60881451E+01  0.00000000E+00  1.37139979E+02  9.42201322E+00 -1.01542677E-01
  1.54900327E+01  7.75295646E+00  6.67328819E+00  6.67352180E+00  1.44264783E+01  1.42064783E+01  3.87659504E+00  3.87647823E+00  3.33664409E+00  3.33676090E+00  7.21323913E+00  1.61024320E+01  1.92353043E+00  1.11330682E+01  6.16298033E+01  0.00000000E+00  1.26997649E+02  1.38424908E+01  3.83220352E-01
  1.22494566E+01  7.23496209E+00  5.75680115E+00  5.75666252E+00  1.29916246E+01  1.27716246E+01  3.61741173E+00  3.61748105E+00  2.87840057E+00  2.87833126E+00  6.49581231E+00  1.61979475E+01  1.73221662E+00  1.12711893E+01  5.11530280E+01  0.00000000E+00  1.40416314E+02  1.37098816E+01  5.07488394E-01
  1.49931842E+01  6.59226849E+00  7.34844354E+00  7.34762595E+00  1.39398944E+01  1.37198944E+01  3.29572545E+00  3.29613424E+00  3.67422177E+00  3.67381297E+00  6.96994722E+00  1.53284562E+01  1.85865259E+00  1.14425651E+01  5.72559599E+01  0.00000000E+00  1.28332320E+02  1.02151384E+01 -8.06305537E-02
  1.70744431E+01  8.97658582E+00  5.87692428E+00  5.87752588E+00  1.48541117E+01  1.46341117E+01  4.48859371E+00  4.48829291E+00  2.93846214E+00  2.93876294E+00  7.42705585E+00  1.73655795E+01  1.98054823E+00  1.08067713E+01  6.07721054E+01  0.00000000E+00  1.40363108E+02  1.43215916E+01  5.50529873E-01
  1.13942564E+01  7.23110606E+00  5.00090135E+00  5.00032873E+00  1.22314348E+01  1.20114348E+01  3.61526672E+00  3.61555303E+00  2.50045067E+00  2.50016436E+00  6.11571739E+00  1.53798713E+01  1.63085797E+00  1.12722073E+01  4.24930515E+01  0.00000000E+00  1.39363831E+02  1.41434127E+01  6.64291618E-01
  1.35570927E+01  6.67274525E+00  7.79862442E+00  7.79897199E+00  1.44717172E+01  1.42517172E+01  3.33654640E+00  3.33637262E+00  3.89931221E+00  3.89948599E+00  7.23585862E+00  1.68761362E+01  1.92956230E+00  1.14211339E+01  5.98737525E+01  0.00000000E+00  1.48617736E+02  1.36137181E+01  1.91525486E-01
  2.09918801E+01  8.63417124E+00  8.90994155E+00  8.90929580E+00  1.75434670E+01  1.73234670E+01  4.31676275E+00  4.31708562E+00  4.45497078E+00  4.45464790E+00  8.77173352E+00  1.90207711E+01  2.33912894E+00  1.08980524E+01  8.44141260E+01  0.00000000E+00  1.34194051E+02  2.08332461E+01  7.46929630E-01
  1.57836094E+01  8.38256712E+00  6.26033385E+00  6.25968302E+00  1.46422501E+01  1.44222501E+01  4.19095814E+00  4.19128356E+00  3.13016693E+00  3.12984151E+00  7.32112507E+00  1.76979749E+01  1.95230002E+00  1.09651482E+01  6.74023410E+01  0.00000000E+00  1.45001912E+02  1.29486889E+01  3.55916014E-01
  2.11040262E+01  1.00928227E+01  6.83227565E+00  6.83267787E+00  1.69255005E+01  1.67055005E+01  5.04661244E+00  5.04641133E+00  3.41613782E+00  3.41633893E+00  8.46275026E+00  1.94542926E+01  2.25673340E+00  1.05091005E+01  8.68662423E+01  0.00000000E+00  1.36314774E+02  1.83439851E+01  8.09496361E-01
  1.50773954E+01  8.18051319E+00  5.33027224E+00  5.32991105E+00  1.35104242E+01  1.32904242E+01  4.09007600E+00  4.09025660E+00  2.66513612E+00  2.66495552E+00  6.75521212E+00  1.54754453E+01  1.80138990E+00  1.10190319E+01  5.25173050E+01  0.00000000E+00  1.29677736E+02  1.42480921E+01  6.25322186E-01
  1.70656340E+01  7.53793425E+00  9.33822017E+00  9.33709022E+00  1.68750245E+01  1.66550245E+01  3.76840215E+00  3.76896713E+00  4.66911008E+00  4.66854511E+00  8.43751224E+00  2.11939704E+01  2.25000326E+00  1.11903446E+01  8.80405051E+01  0.00000000E+00  1.86231366E+02  1.97207904E+01  5.71514874E-01
  1.09815111E+01  6.47491728E+00  6.15120337E+00  6.15094753E+00  1.26258648E+01  1.24058648E+01  3.23733072E+00  3.23745864E+00  3.07560168E+00  3.07547376E+00  6.31293240E+00  1.73740211E+01  1.68344864E+00  1.14738580E+01  6.42380367E+01  0.00000000E+00  1.58086280E+02  1.39729570E+01  4.74653157E-01
  1.41792757E+01  6.06290146E+00  8.92784115E+00  8.92855783E+00  1.49914593E+01  1.47714593E+01  3.03180907E+00  3.03145073E+00  4.46392057E+00  4.46427892E+00  7.49572965E+00  1.85878269E+01  1.99886124E+00  1.15837697E+01  6.47582522E+01  0.00000000E+00  1.72180508E+02  1.34743002E+01  8.14573433E-03
