# PIMCID: 02f28eca-3724-4040-9510-17c8c95b7c5a
#           K_op            K_cv            V_op            V_cv               E            E_mu          K_op/N          K_cv/N          V_op/N          V_cv/N             E/N     EEcv*Beta^2        Ecv*Beta            dEdB          CvCov1          CvCov2          CvCov3            E_th               P
  1.22873871E+01  7.68381852E+00  6.44682645E+00  6.44678340E+00  1.41306019E+01  1.39106019E+01  3.84188773E+00  3.84190926E+00  3.22341323E+00  3.22339170E+00  7.06530096E+00  1.41603456E+01  1.66242375E+00  9.79250151E+00  4.86131885E+01  0.00000000E+00  9.56292863E+01  1.33211489E+01  3.65096933E-01
  1.53936779E+01  8.15046009E+00  9.65050338E+00  9.65050720E+00  1.78009673E+01  1.75809673E+01  4.07523196E+00  4.07523005E+00  4.82525169E+00  4.82525360E+00  8.90048365E+00  1.73094332E+01  2.09423145E+00  9.68256191E+00  7.16655243E+01  0.00000000E+00  1.15577763E+02  1.70348976E+01  2.55913015E-01
  1.56740725E+01  9.25312429E+00  7.36500551E+00  7.36408079E+00  1.66172051E+01  1.63972051E+01  4.62609979E+00  4.62656215E+00  3.68250275E+00  3.68204039E+00  8.30860254E+00  1.60570000E+01  1.95496530E+00  9.42322454E+00  5.49103946E+01  0.00000000E+00  1.10652063E+02  1.65011276E+01  5.45500139E-01
  1.64719852E+01  9.79168949E+00  6.71278742E+00  6.71262519E+00  1.65043147E+01  1.62843147E+01  4.89576363E+00  4.89584474E+00  3.35639371E+00  3.35631259E+00  8.25215734E+00  1.49724931E+01  1.94168408E+00  9.29652110E+00  5.53663480E+01  0.00000000E+00  9.21941651E+01  1.82685894E+01  8.19964697E-01
  1.72900690E+01  8.61102696E+00  9.71629629E+00  9.71586798E+00  1.83268949E+01  1.81068949E+01  4.30529932E+00  4.30551348E+00  4.85814815E+00  4.85793399E+00  9.16344747E+00  1.61688422E+01  2.15610529E+00  9.57432445E+00  6.32714774E+01  0.00000000E+00  1.08655113E+02  1.79486414E+01  3.37483273E-01
  1.43764552E+01  8.57101013E+00  7.28146648E+00  7.28165735E+00  1.58526675E+01  1.56326675E+01  4.28560050E+00  4.28550506E+00  3.64073324E+00  3.64082868E+00  7.92633374E+00  1.60544813E+01  1.86501970E+00  9.58374961E+00  5.28132942E+01  0.00000000E+00  1.17005002E+02  2.06243907E+01  9.70189972E-01
  1.48695095E+01  8.37970521E+00  7.46690622E+00  7.46623110E+00  1.58459363E+01  1.56259363E+01  4.18951504E+00  4.18985261E+00  3.73345311E+00  3.73311555E+00  7.92296816E+00  1.43679727E+01  1.86422780E+00  9.62874369E+00  5.34978566E+01  0.00000000E+00  9.66254214E+01  1.82018874E+01  7.00253562E-01
  1.40666647E+01  8.00249447E+00  8.05454344E+00  8.05564017E+00  1.60581346E+01  1.58381346E+01  4.00179560E+00  4.00124724E+00  4.02727172E+00  4.02782008E+00  8.02906732E+00  1.49744378E+01  1.88919231E+00  9.71754305E+00  5.19771640E+01  0.00000000E+00  1.05990376E+02  1.64834644E+01  4.39999860E-01
  1.50476930E+01  8.94758332E+00  6.61650666E+00  6.61699863E+00  1.55645819E+01  1.53445819E+01  4.47403765E+00  4.47379166E+00  3.30825333E+00  3.30849932E+00  7.78229097E+00  1.38709180E+01  1.83112729E+00  9.49513508E+00  5.36291065E+01  0.00000000E+00  8.33361878E+01  1.51977575E+01  5.27225499E-01
  1.57013594E+01  8.87985160E+00  9.10438377E+00  9.10470086E+00  1.79845525E+01  1.77645525E+01  4.44008434E+00  4.43992580E+00  4.55219189E+00  4.55235043E+00  8.99227623E+00  1.75116603E+01  2.11582970E+00  9.51108750E+00  7.05577645E+01  0.00000000E+00  1.08532107E+02  1.82213040E+01  4.56424646E-01
  1.56061391E+01  8.96760636E+00  6.91308632E+00  6.91252724E+00  1.58801336E+01  1.56601336E+01  4.48352364E+00  4.48380318E+00  3.45654316E+00  3.45626362E+00  7.94006680E+00  1.38950650E+01  1.86825101E+00  9.49041362E+00  4.51652173E+01  0.00000000E+00  9.50121479E+01  1.82666793E+01  7.89788373E-01
  1.36251327E+01  7.43385296E+00  7.67053024E+00  7.67100363E+00  1.51048566E+01  1.48848566E+01  3.71716317E+00  3.71692648E+00  3.83526512E+00  3.83550182E+00  7.55242830E+00  1.31923420E+01  1.77704195E+00  9.85132946E+00  4.87922000E+01  0.00000000E+00  9.04395858E+01  1.50250367E+01  3.51852604E-01
