# PIMCID: b03fd09b-42b8-465f-b3e0-74baef3b6704
#           K_op            K_cv            V_op            V_cv               E            E_mu          K_op/N          K_cv/N          V_op/N          V_cv/N             E/N     EEcv*Beta^2        Ecv*Beta            dEdB          CvCov1          CvCov2          CvCov3            E_th               P
  1.05699198E+02  7.04487947E-01  7.96921029E-01  7.96909280E-01  1.50139723E+00  1.28139723E+00  3.52238098E-01  3.52243973E-01  3.98460515E-01  3.98454640E-01  7.50698613E-01  1.35192098E+02  2.00186297E+00  1.31326687E+02  5.28091274E+02  0.00000000E+00  1.72533278E+04  9.49816464E-01 -2.45547988E-02
  6.97095897E+01  5.37979191E-01  8.02470255E-01  8.02468165E-01  1.34044736E+00  1.12044736E+00  2.68988550E-01  2.68989596E-01  4.01235128E-01  4.01234082E-01  6.70223678E-01  1.46541424E+02  1.78726314E+00  1.31770721E+02  5.35330363E+02  0.00000000E+00  1.87548092E+04  1.45986416E+00  2.56161374E-02
  1.23623314E+02  8.05939348E-01  7.61192874E-01  7.61162467E-01  1.56710182E+00  1.34710182E+00  4.02954471E-01  4.02969674E-01  3.80596437E-01  3.80581234E-01  7.83550908E-01  1.32004780E+02  2.08946909E+00  1.31056139E+02  5.48026242E+02  0.00000000E+00  1.67533618E+04  1.70338030E+00  5.61636090E-02
  1.28675404E+02  9.09124599E-01  7.80329588E-01  7.80321316E-01  1.68944591E+00  1.46944591E+00  4.54558163E-01  4.54562300E-01  3.90164794E-01  3.90160658E-01  8.44722957E-01  1.38668339E+02  2.25259455E+00  1.30780980E+02  7.57691280E+02  0.00000000E+00  1.72566674E+04  2.66353933E+00  1.49305683E-01
  1.09585427E+02  8.33250535E-01  7.02207626E-01  7.02200075E-01  1.53545061E+00  1.31545061E+00  4.16621492E-01  4.16625267E-01  3.51103813E-01  3.51100037E-01  7.67725305E-01  1.38753296E+02  2.04726748E+00  1.30983317E+02  7.77830382E+02  0.00000000E+00  1.71878365E+04  1.43352016E+00  3.80219576E-02
  1.20904750E+02  7.44845898E-01  8.66877666E-01  8.66972543E-01  1.61181844E+00  1.39181844E+00  3.72470387E-01  3.72422949E-01  4.33438833E-01  4.33486271E-01  8.05909220E-01  1.29093221E+02  2.14909125E+00  1.31219087E+02  5.93422703E+02  0.00000000E+00  1.63132140E+04  2.03212337E+00  7.31663977E-02
  2.50850012E+01  2.95577967E-01  7.05171581E-01  7.05106059E-01  1.00068403E+00  7.80684026E-01  1.47756223E-01  1.47788983E-01  3.52585791E-01  3.52553030E-01  5.00342013E-01  1.26953923E+02  1.33424537E+00  1.32417110E+02  4.63606170E+02  0.00000000E+00  1.62327534E+04  1.47047574E+00  4.12816179E-02
  8.30321405E+01  5.72468387E-01  7.94391335E-01  7.94359982E-01  1.36682837E+00  1.14682837E+00  2.86218517E-01  2.86234193E-01  3.97195667E-01  3.97179991E-01  6.83414185E-01  1.41986554E+02  1.82243783E+00  1.31678739E+02  5.02673655E+02  0.00000000E+00  1.82211276E+04  1.19126236E+00 -2.78146717E-05
  1.20560333E+02  7.65252278E-01  8.21295626E-01  8.21301712E-01  1.58655399E+00  1.36655399E+00  3.82629181E-01  3.82626139E-01  4.10647813E-01  4.10650856E-01  7.93276995E-01  1.52628848E+02  2.11540532E+00  1.31164649E+02  6.76703862E+02  0.00000000E+00  1.92886447E+04  1.81599827E+00  5.84045156E-02
  1.46212293E+02  9.06550215E-01  8.44933244E-01  8.44948867E-01  1.75149908E+00  1.53149908E+00  4.53282919E-01  4.53275108E-01  4.22466622E-01  4.22474433E-01  8.75749541E-01  1.41020690E+02  2.33533211E+00  1.30787854E+02  8.11972924E+02  0.00000000E+00  1.75624244E+04  2.76227681E+00  1.49485295E-01
