# PIMCID: 582c099d-216e-45f5-b9fe-446cc2b0bc9c
#           K_op            K_cv            V_op            V_cv               E            E_mu          K_op/N          K_cv/N          V_op/N          V_cv/N             E/N     EEcv*Beta^2        Ecv*Beta            dEdB          CvCov1          CvCov2          CvCov3            E_th               P
  1.06114720E+02  1.30006323E+00  9.51464207E-01  9.51493605E-01  2.25155683E+00  2.03155683E+00  6.50046313E-01  6.50031614E-01  4.75732103E-01  4.75746802E-01  1.12577842E+00  1.00566634E+02  2.25155683E+00  9.74038465E+01  4.68783238E+02  0.00000000E+00  9.34416746E+03  2.05710667E+00  6.29865629E-02
  3.01081258E+01  6.02974099E-01  9.77401059E-01  9.77506789E-01  1.58048089E+00  1.36048089E+00  3.01539914E-01  3.01487050E-01  4.88700529E-01  4.88753394E-01  7.90240444E-01  1.09095254E+02  1.58048089E+00  9.87980596E+01  3.53541230E+02  0.00000000E+00  1.04284354E+04  2.22516181E+00  7.58900973E-02
  4.15172645E+01  7.83320386E-01  8.14795247E-01  8.14816256E-01  1.59813664E+00  1.37813664E+00  3.91670698E-01  3.91660193E-01  4.07397623E-01  4.07408128E-01  7.99068321E-01  9.36494543E+01  1.59813664E+00  9.84373552E+01  1.52114003E+02  0.00000000E+00  9.22867163E+03  5.17943910E-01 -7.04281017E-02
  8.25018148E+01  1.08151951E+00  9.02913284E-01  9.02979430E-01  1.98449894E+00  1.76449894E+00  5.40792828E-01  5.40759755E-01  4.51456642E-01  4.51489715E-01  9.92249470E-01  1.02475198E+02  1.98449894E+00  9.78409582E+01  5.22062209E+02  0.00000000E+00  9.39468702E+03  2.77839986E+00  1.42393011E-01
  4.56496401E+01  7.23811969E-01  9.63719312E-01  9.63673956E-01  1.68748592E+00  1.46748592E+00  3.61883306E-01  3.61905984E-01  4.81859656E-01  4.81836978E-01  8.43742962E-01  1.11458687E+02  1.68748592E+00  9.85563496E+01  3.36219408E+02  0.00000000E+00  1.07100471E+04  2.58671239E+00  1.14120081E-01
  1.41557902E+02  1.59634417E+00  9.82145445E-01  9.82014498E-01  2.57835867E+00  2.35835867E+00  7.98106611E-01  7.98172085E-01  4.91072723E-01  4.91007249E-01  1.28917933E+00  1.05972774E+02  2.57835867E+00  9.68112415E+01  6.04227683E+02  0.00000000E+00  9.58468495E+03  3.88525376E+00  2.41223136E-01
  6.63633498E+01  8.96644328E-01  9.79634348E-01  9.79720879E-01  1.87636521E+00  1.65636521E+00  4.48365429E-01  4.48322164E-01  4.89817174E-01  4.89860439E-01  9.38182604E-01  9.62500334E+01  1.87636521E+00  9.82107170E+01  4.75312327E+02  0.00000000E+00  8.90394300E+03  2.11860342E+00  6.49021450E-02
  3.62460808E+01  7.08187718E-01  8.49873212E-01  8.49958650E-01  1.55814637E+00  1.33814637E+00  3.54136578E-01  3.54093859E-01  4.24936606E-01  4.24979325E-01  7.79073184E-01  9.58790517E+01  1.55814637E+00  9.85876339E+01  1.86409311E+02  0.00000000E+00  9.38545629E+03  7.58592052E-01 -5.16346489E-02
 -7.29521526E+00  2.23981624E-01  9.80450607E-01  9.80467827E-01  1.20444945E+00  9.84449451E-01  1.11999422E-01  1.11990812E-01  4.90225303E-01  4.90233914E-01  6.02224725E-01  1.04829657E+02  1.20444945E+00  9.95560480E+01  2.36317588E+02  0.00000000E+00  1.02235625E+04  9.91125592E-01 -4.79576802E-02
  1.73833581E+01  4.93696850E-01  9.07128018E-01  9.07115737E-01  1.40081259E+00  1.18081259E+00  2.46842285E-01  2.46848425E-01  4.53564009E-01  4.53557869E-01  7.00406294E-01  1.02483210E+02  1.40081259E+00  9.90166035E+01  2.56041065E+02  0.00000000E+00  9.94300835E+03  9.88732525E-01 -3.71941685E-02
  5.40702921E+01  8.71181446E-01  8.51137332E-01  8.51142359E-01  1.72232381E+00  1.50232381E+00  4.35593237E-01  4.35590723E-01  4.25568666E-01  4.25571180E-01  8.61161903E-01  9.30052319E+01  1.72232381E+00  9.82616252E+01  2.45925638E+02  0.00000000E+00  8.96421291E+03  1.31965338E+00  4.29392713E-03
  5.77806904E+01  7.60175661E-01  9.75411440E-01  9.75400804E-01  1.73557647E+00  1.51557647E+00  3.80082512E-01  3.80087830E-01  4.87705720E-01  4.87700402E-01  8.67788233E-01  9.73769784E+01  1.73557647E+00  9.84836365E+01  3.92705736E+02  0.00000000E+00  9.16618050E+03  1.54667978E+00  8.35779215E-03
  6.79572775E+01  1.02335006E+00  8.91036249E-01  8.90979616E-01  1.91432967E+00  1.69432967E+00  5.11646711E-01  5.11675028E-01  4.45518125E-01  4.45489808E-01  9.57164835E-01  1.02847278E+02  1.91432967E+00  9.79572684E+01  3.82551628E+02  0.00000000E+00  9.70792917E+03  2.01492464E+00  6.78454618E-02
  8.59703667E+01  1.04601932E+00  1.04265725E+00  1.04263830E+00  2.08865762E+00  1.86865762E+00  5.23000185E-01  5.23009659E-01  5.21328625E-01  5.21319150E-01  1.04432881E+00  1.07348314E+02  2.08865762E+00  9.79119423E+01  4.27643964E+02  0.00000000E+00  1.01265646E+04  1.64495990E+00  8.10017550E-03
  8.81107341E+01  9.92855165E-01  1.04154911E+00  1.04163391E+00  2.03448908E+00  1.81448908E+00  4.96469985E-01  4.96427582E-01  5.20774554E-01  5.20816956E-01  1.01724454E+00  1.00445421E+02  2.03448908E+00  9.80182856E+01  3.47513954E+02  0.00000000E+00  9.57783192E+03  1.50989873E+00 -5.25528317E-03
  4.43691631E+01  7.49116546E-01  9.17825905E-01  9.17783846E-01  1.66690039E+00  1.44690039E+00  3.74537243E-01  3.74558273E-01  4.58912952E-01  4.58891923E-01  8.33450196E-01  1.06603174E+02  1.66690039E+00  9.85057559E+01  2.16124704E+02  0.00000000E+00  1.04225671E+04  3.54633930E-01 -1.02204245E-01
  6.10576099E+01  8.88244273E-01  9.53171919E-01  9.53244807E-01  1.84148908E+00  1.62148908E+00  4.44158580E-01  4.44122137E-01  4.76585960E-01  4.76622404E-01  9.20744540E-01  9.82619248E+01  1.84148908E+00  9.82275055E+01  1.88235929E+02  0.00000000E+00  9.64469724E+03  7.01225048E-01 -7.28642799E-02
  8.78598388E+01  1.21208763E+00  9.33613953E-01  9.33643430E-01  2.14573106E+00  1.92573106E+00  6.06058552E-01  6.06043814E-01  4.66806977E-01  4.66821715E-01  1.07286553E+00  1.03985255E+02  2.14573106E+00  9.75797972E+01  4.69568365E+02  0.00000000E+00  9.67886828E+03  3.05057833E+00  1.65011256E-01
  9.49159605E+01  1.33644377E+00  8.33002412E-01  8.33047462E-01  2.16949124E+00  1.94949124E+00  6.68244412E-01  6.68221887E-01  4.16501206E-01  4.16523731E-01  1.08474562E+00  1.13984439E+02  2.16949124E+00  9.73310906E+01  6.44804119E+02  0.00000000E+00  1.03061432E+04  3.23976661E+00  1.99019486E-01
  1.07948431E+02  1.27822363E+00  9.51545636E-01  9.51558181E-01  2.22978182E+00  2.00978182E+00  6.39118089E-01  6.39111817E-01  4.75772818E-01  4.75779091E-01  1.11489091E+00  1.02294936E+02  2.22978182E+00  9.74475290E+01  5.59629694E+02  0.00000000E+00  9.33390500E+03  3.01475249E+00  1.58741458E-01
  7.01916084E+01  1.05738175E+00  9.47144175E-01  9.47140982E-01  2.00452273E+00  1.78452273E+00  5.28689280E-01  5.28690876E-01  4.73572088E-01  4.73570491E-01  1.00226137E+00  1.12953564E+02  2.00452273E+00  9.78892198E+01  3.81986881E+02  0.00000000E+00  1.07621056E+04  1.81817596E+00  3.97463861E-02
  1.34342633E+02  1.63488164E+00  9.32550820E-01  9.32559632E-01  2.56744127E+00  2.34744127E+00  8.17445226E-01  8.17440820E-01  4.66275410E-01  4.66279816E-01  1.28372064E+00  1.13031981E+02  2.56744127E+00  9.67341976E+01  5.53218371E+02  0.00000000E+00  1.04393406E+04  3.51817658E+00  2.11933651E-01
  6.61651419E+01  9.40351517E-01  9.57556740E-01  9.57526882E-01  1.89787840E+00  1.67787840E+00  4.70160829E-01  4.70175758E-01  4.78778370E-01  4.78763441E-01  9.48939199E-01  1.07030808E+02  1.89787840E+00  9.81232764E+01  2.33839749E+02  0.00000000E+00  1.04388257E+04  8.78647040E-01 -5.57643921E-02
  1.03076083E+02  1.22712914E+00  1.03471142E+00  1.03470880E+00  2.26183794E+00  2.04183794E+00  6.13563261E-01  6.13564570E-01  5.17355710E-01  5.17354401E-01  1.13091897E+00  9.97180688E+01  2.26183794E+00  9.75497180E+01  4.69941544E+02  0.00000000E+00  9.25768907E+03  1.81012174E+00  2.58057851E-02
  1.11393190E+02  1.17909708E+00  1.02651419E+00  1.02645673E+00  2.20555381E+00  1.98555381E+00  5.89519813E-01  5.89548540E-01  5.13257093E-01  5.13228366E-01  1.10277691E+00  8.56985303E+01  2.20555381E+00  9.76457665E+01  4.05759419E+02  0.00000000E+00  7.96300046E+03  1.52396329E+00 -1.57224871E-03
  4.11783046E+01  5.86887421E-01  9.37728083E-01  9.37809853E-01  1.52469727E+00  1.30469727E+00  2.93484595E-01  2.93443710E-01  4.68864042E-01  4.68904926E-01  7.62348637E-01  1.03327570E+02  1.52469727E+00  9.88302314E+01  2.92063758E+02  0.00000000E+00  9.93797444E+03  1.93810102E+00  5.31385615E-02
