# PIMCID: 64b084e6-9a8d-4e96-8efb-bead94d64ff3
#           K_op            K_cv            V_op            V_cv               E            E_mu          K_op/N          K_cv/N          V_op/N          V_cv/N             E/N     EEcv*Beta^2        Ecv*Beta            dEdB          CvCov1          CvCov2          CvCov3            E_th               P
  5.65943845E+01  1.19701990E+00  1.06430365E+00  1.06425320E+00  2.26127310E+00  2.04127310E+00  5.98484727E-01  5.98509952E-01  5.32151823E-01  5.32126598E-01  1.13063655E+00  7.62980566E+01  1.80901848E+00  7.80879434E+01  2.24404035E+02  0.00000000E+00  5.78559758E+03  1.90183877E+00  3.05458262E-02
  3.89012367E+01  9.35637757E-01  1.12199213E+00  1.12196859E+00  2.05760634E+00  1.83760634E+00  4.67807104E-01  4.67818878E-01  5.60996067E-01  5.60984293E-01  1.02880317E+00  7.98688655E+01  1.64608507E+00  7.85061611E+01  2.32177225E+02  0.00000000E+00  6.08159608E+03  3.08093900E+00  1.39798537E-01
  6.80775841E+01  1.30656028E+00  1.18935131E+00  1.18933102E+00  2.49589130E+00  2.27589130E+00  6.53269994E-01  6.53280141E-01  5.94675657E-01  5.94665509E-01  1.24794565E+00  7.27491308E+01  1.99671304E+00  7.79126872E+01  3.62869579E+02  0.00000000E+00  5.26181359E+03  1.52337042E+00 -2.60626902E-02
  4.78550271E+01  1.23695339E+00  1.13554496E+00  1.13570129E+00  2.37265468E+00  2.15265468E+00  6.18554863E-01  6.18476694E-01  5.67772478E-01  5.67850646E-01  1.18632734E+00  9.23458791E+01  1.89812374E+00  7.80240895E+01  2.51972218E+02  0.00000000E+00  7.06144405E+03  1.18649913E+00 -5.17053561E-02
  3.51647374E+01  8.86090701E-01  1.19113776E+00  1.19115534E+00  2.07724604E+00  1.85724604E+00  4.43054142E-01  4.43045351E-01  5.95568879E-01  5.95577670E-01  1.03862302E+00  8.28977260E+01  1.66179683E+00  7.85854461E+01  1.87312483E+02  0.00000000E+00  6.41866388E+03  2.14267489E+00  3.55941082E-02
  1.94374020E+01  5.90029289E-01  1.20973037E+00  1.20975448E+00  1.79978377E+00  1.57978377E+00  2.95026698E-01  2.95014645E-01  6.04865185E-01  6.04877238E-01  8.99891883E-01  7.59153641E+01  1.43982701E+00  7.90591534E+01  1.65156445E+02  0.00000000E+00  5.88863172E+03  5.33850475E-01 -1.28078205E-01
  6.43499320E+01  1.23925995E+00  1.17953605E+00  1.17958042E+00  2.41884037E+00  2.19884037E+00  6.19652158E-01  6.19629973E-01  5.89768024E-01  5.89790210E-01  1.20942018E+00  8.13055389E+01  1.93507229E+00  7.80203710E+01  3.03456575E+02  0.00000000E+00  6.04891020E+03  2.85089439E+00  1.08152298E-01
  5.12016660E+01  1.25076469E+00  1.06215398E+00  1.06217280E+00  2.31293749E+00  2.09293749E+00  6.25391756E-01  6.25382344E-01  5.31076988E-01  5.31086401E-01  1.15646874E+00  8.03604881E+01  1.85034999E+00  7.80019588E+01  3.31293391E+02  0.00000000E+00  5.91361591E+03  2.07906007E+00  4.85800157E-02
  7.88763318E+01  1.69162608E+00  1.14223466E+00  1.14225055E+00  2.83387663E+00  2.61387663E+00  8.45820984E-01  8.45813038E-01  5.71117329E-01  5.71125275E-01  1.41693831E+00  8.78766461E+01  2.26710130E+00  7.72965785E+01  5.02595819E+02  0.00000000E+00  6.18630864E+03  2.28506310E+00  5.71686511E-02
  6.28431194E+01  1.33344735E+00  1.11672904E+00  1.11655680E+00  2.45000415E+00  2.23000415E+00  6.66637553E-01  6.66723674E-01  5.58364521E-01  5.58278400E-01  1.22500207E+00  8.21325327E+01  1.96000332E+00  7.78696278E+01  4.50868811E+02  0.00000000E+00  5.83578844E+03  3.43149257E+00  1.75665663E-01
  3.98803612E+01  9.43603553E-01  1.13826267E+00  1.13825877E+00  2.08186233E+00  1.86186233E+00  4.71799830E-01  4.71801777E-01  5.69131334E-01  5.69129387E-01  1.04093116E+00  8.47014055E+01  1.66548986E+00  7.84934116E+01  3.19043780E+02  0.00000000E+00  6.32803207E+03  3.18992500E+00  1.48253608E-01
  8.61384338E+01  1.72615316E+00  1.12002827E+00  1.12010248E+00  2.84625564E+00  2.62625564E+00  8.63113688E-01  8.63076581E-01  5.60014134E-01  5.60051241E-01  1.42312782E+00  8.86394745E+01  2.27700451E+00  7.72413440E+01  3.59967355E+02  0.00000000E+00  6.53189787E+03  3.16598385E+00  1.48582939E-01
  7.16424794E+01  1.37212909E+00  1.20226213E+00  1.20219801E+00  2.57432710E+00  2.35432710E+00  6.86032487E-01  6.86064544E-01  6.01131063E-01  6.01099006E-01  1.28716355E+00  8.27498943E+01  2.05946168E+00  7.78077636E+01  3.87697532E+02  0.00000000E+00  6.02771315E+03  2.93768886E+00  1.13439104E-01
  1.38340635E+01  5.27911749E-01  1.18450591E+00  1.18463512E+00  1.71254687E+00  1.49254687E+00  2.64020480E-01  2.63955875E-01  5.92252953E-01  5.92317558E-01  8.56273433E-01  8.51694594E+01  1.37003749E+00  7.91585583E+01  1.73877146E+02  0.00000000E+00  6.63610435E+03  6.00093159E-01 -1.17686031E-01
  7.35996796E+01  1.41403297E+00  1.12519620E+00  1.12516971E+00  2.53920268E+00  2.31920268E+00  7.07003239E-01  7.07016485E-01  5.62598102E-01  5.62584856E-01  1.26960134E+00  7.38259177E+01  2.03136215E+00  7.77407178E+01  4.19598334E+02  0.00000000E+00  5.22766661E+03  2.36213355E+00  6.74378231E-02
  2.73985881E+01  8.65315686E-01  1.16650599E+00  1.16647069E+00  2.03178637E+00  1.81178637E+00  4.32640191E-01  4.32657843E-01  5.83252996E-01  5.83235344E-01  1.01589319E+00  8.60261751E+01  1.62542910E+00  7.86186776E+01  2.75765841E+02  0.00000000E+00  6.49875995E+03  2.59641379E+00  8.46706984E-02
  6.58953736E+01  1.14480741E+00  1.35946479E+00  1.35947512E+00  2.50428253E+00  2.28428253E+00  5.72408866E-01  5.72403703E-01  6.79732396E-01  6.79737560E-01  1.25214126E+00  8.60514670E+01  2.00342602E+00  7.81714978E+01  3.59219087E+02  0.00000000E+00  6.36263132E+03  2.71813523E+00  6.78921642E-02
  3.32519862E+01  9.79590958E-01  1.15717404E+00  1.15710558E+00  2.13669653E+00  1.91669653E+00  4.89761249E-01  4.89795479E-01  5.78587018E-01  5.78552788E-01  1.06834827E+00  8.34840208E+01  1.70935723E+00  7.84358331E+01  1.31913423E+02  0.00000000E+00  6.57089547E+03  2.23045868E+00  4.94799546E-02
  4.45911981E+01  1.05855721E+00  1.09463756E+00  1.09470872E+00  2.15326592E+00  1.93326592E+00  5.29314181E-01  5.29278604E-01  5.47318781E-01  5.47354358E-01  1.07663296E+00  8.41014342E+01  1.72261274E+00  7.83095047E+01  2.83719739E+02  0.00000000E+00  6.31062532E+03  2.27092179E+00  6.28857988E-02
  3.41640851E+01  8.35337924E-01  1.13818727E+00  1.13826386E+00  1.97360179E+00  1.75360179E+00  4.17707257E-01  4.17668962E-01  5.69093636E-01  5.69131931E-01  9.86800893E-01  8.29020511E+01  1.57888143E+00  7.86666538E+01  3.56745337E+02  0.00000000E+00  6.08126766E+03  2.81901005E+00  1.11161350E-01
  7.88084663E+01  1.53456634E+00  1.18730870E+00  1.18723361E+00  2.72179995E+00  2.50179995E+00  7.67245626E-01  7.67283171E-01  5.93654350E-01  5.93616805E-01  1.36089998E+00  8.20561519E+01  2.17743996E+00  7.75478653E+01  3.37901371E+02  0.00000000E+00  6.07372123E+03  1.70769539E+00 -7.31558192E-03
  5.66287239E+01  1.16972095E+00  1.12346113E+00  1.12345870E+00  2.29317965E+00  2.07317965E+00  5.84859258E-01  5.84860475E-01  5.61730566E-01  5.61729350E-01  1.14658982E+00  7.76923921E+01  1.83454372E+00  7.81316405E+01  1.50276703E+02  0.00000000E+00  6.06271412E+03  9.09690469E-01 -7.75498329E-02
  4.52370693E+01  1.11728323E+00  1.24608762E+00  1.24591759E+00  2.36320082E+00  2.14320082E+00  5.58556600E-01  5.58641615E-01  6.23043811E-01  6.22958795E-01  1.18160041E+00  8.75416536E+01  1.89056066E+00  7.82155004E+01  3.23474459E+02  0.00000000E+00  6.52429197E+03  1.42941481E+00 -4.39462402E-02
  6.24680796E+01  1.19933814E+00  1.15847587E+00  1.15833713E+00  2.35767527E+00  2.13767527E+00  5.99599703E-01  5.99669072E-01  5.79237934E-01  5.79168565E-01  1.17883764E+00  7.46706804E+01  1.88614022E+00  7.80842203E+01  2.62684664E+02  0.00000000E+00  5.60419065E+03  1.71501033E+00 -2.24961348E-03
  4.41127381E+01  9.61863780E-01  1.20143076E+00  1.20146380E+00  2.16332758E+00  1.94332758E+00  4.80948409E-01  4.80931890E-01  6.00715379E-01  6.00731898E-01  1.08166379E+00  7.50848926E+01  1.73066206E+00  7.84642170E+01  1.85332180E+02  0.00000000E+00  5.81058598E+03  1.23411456E-01 -1.67878504E-01
  8.39666343E+01  1.67273914E+00  1.10182425E+00  1.10193917E+00  2.77467830E+00  2.55467830E+00  8.36427028E-01  8.36369568E-01  5.50912124E-01  5.50969585E-01  1.38733915E+00  8.59895975E+01  2.21974264E+00  7.73268062E+01  4.21235353E+02  0.00000000E+00  6.20975306E+03  3.45161800E+00  1.79870851E-01
  2.94231577E+01  9.51100262E-01  9.90344446E-01  9.90356859E-01  1.94145712E+00  1.72145712E+00  4.75556338E-01  4.75550131E-01  4.95172223E-01  4.95178429E-01  9.70728561E-01  8.10904856E+01  1.55316570E+00  7.84814284E+01  2.84222460E+02  0.00000000E+00  6.05533988E+03  1.51927507E+00  3.37391208E-03
  8.89648708E+01  1.58211102E+00  1.25388122E+00  1.25399698E+00  2.83610800E+00  2.61610800E+00  7.91113388E-01  7.91055509E-01  6.26940612E-01  6.26998491E-01  1.41805400E+00  8.11546129E+01  2.26888640E+00  7.74718113E+01  3.61723140E+02  0.00000000E+00  5.95623274E+03  2.97699889E+00  1.09600258E-01
  7.33848861E+01  1.40812718E+00  1.23511044E+00  1.23502191E+00  2.64314909E+00  2.42314909E+00  7.04019322E-01  7.04063591E-01  6.17555222E-01  6.17510953E-01  1.32157454E+00  7.43865772E+01  2.11451927E+00  7.77501578E+01  2.84248169E+02  0.00000000E+00  5.51742128E+03  2.33321300E+00  4.80679318E-02
