#              T            K_op           ΔK_op            K_cv           ΔK_cv            V_op           ΔV_op            V_cv           ΔV_cv               E              ΔE            E_mu           ΔE_mu          K_op/N         ΔK_op/N          K_cv/N         ΔK_cv/N          V_op/N         ΔV_op/N          V_cv/N         ΔV_cv/N             E/N            ΔE/N     EEcv*Beta^2    ΔEEcv*Beta^2        Ecv*Beta       ΔEcv*Beta            dEdB           ΔdEdB          CvCov1         ΔCvCov1          CvCov2         ΔCvCov2          CvCov3         ΔCvCov3            E_th           ΔE_th               P              ΔP
  3.00000000E-01  7.46687553E+02  4.41726480E+00  5.17338351E-01  4.06262144E-03  5.19337463E-01  5.82157153E-04  5.19337221E-01  5.82073266E-04  1.03667557E+00  4.05381382E-03  8.16675571E-01  4.05381382E-03  2.58669054E-01  2.03131717E-03  2.58669175E-01  2.03131072E-03  2.59668731E-01  2.91078576E-04  2.59668610E-01  2.91036633E-04  5.18337786E-01  2.02690691E-03  3.42028930E+02  5.20398902E-01  3.45558524E+00  1.35127128E-02  3.29764383E+02  2.70844958E-02  2.61465247E+03  1.83132787E+01  0.00000000E+00  0.00000000E+00  1.09931495E+05  1.64628893E+02  1.03289204E+00  1.14103939E-02  2.53885862E-02  1.14305962E-03
  5.00000000E-01  2.36454906E+02  1.63580077E+00  5.99208911E-01  4.09584734E-03  5.95975460E-01  7.35632060E-04  5.95974795E-01  7.35661076E-04  1.19518371E+00  4.10311360E-03  9.75183706E-01  4.10311360E-03  2.99604123E-01  2.04787558E-03  2.99604456E-01  2.04792367E-03  2.97987730E-01  3.67816029E-04  2.97987397E-01  3.67830539E-04  5.97591853E-01  2.05155680E-03  2.04685983E+02  2.64050265E-01  2.39036741E+00  8.20622721E-03  1.97611141E+02  1.63836673E-02  1.01709976E+03  6.94386914E+00  0.00000000E+00  0.00000000E+00  3.94016476E+04  5.37073588E+01  1.19806177E+00  1.15970789E-02  3.04099182E-02  1.15214278E-03
  7.50000000E-01  1.07186568E+02  7.46813815E-01  7.55092821E-01  4.16297218E-03  7.52693614E-01  9.03696722E-04  7.52694803E-01  9.03550768E-04  1.50778762E+00  4.24460847E-03  1.28778762E+00  4.24460847E-03  3.77547005E-01  2.08150435E-03  3.77546411E-01  2.08148609E-03  3.76346807E-01  4.51848361E-04  3.76347401E-01  4.51775385E-04  7.53893812E-01  2.12230424E-03  1.36629543E+02  1.57449637E-01  2.01038350E+00  5.65947796E-03  1.31191739E+02  1.11014003E-02  5.47417789E+02  3.25080032E+00  0.00000000E+00  0.00000000E+00  1.73891219E+04  2.04390237E+01  1.49515175E+00  1.23041676E-02  3.66109048E-02  1.22053333E-03
  1.00000000E+00  6.68586655E+01  1.21801106E+00  9.30110183E-01  1.29218145E-02  9.44841724E-01  2.48869269E-03  9.44839927E-01  2.48826960E-03  1.87495011E+00  1.24041220E-02  1.65495011E+00  1.24041220E-02  4.65054193E-01  6.46103385E-03  4.65055092E-01  6.46090725E-03  4.72420862E-01  1.24434635E-03  4.72419963E-01  1.24413480E-03  9.37475055E-01  6.20206102E-03  1.03652394E+02  3.05421038E-01  1.87495011E+00  1.24041220E-02  9.81437615E+01  2.58439591E-02  3.77671074E+02  5.63839495E+00  0.00000000E+00  0.00000000E+00  9.81574424E+03  3.11406119E+01  1.83048472E+00  3.48236567E-02  4.13224201E-02  3.55550740E-03
  1.00000000E+00  6.84245931E+01  4.54006938E-01  9.41143553E-01  4.59702983E-03  9.47389413E-01  9.61049057E-04  9.47389758E-01  9.61082275E-04  1.88853331E+00  4.62481977E-03  1.66853331E+00  4.62481977E-03  4.70571949E-01  2.29842644E-03  4.70571777E-01  2.29851491E-03  4.73694706E-01  4.80524528E-04  4.73694879E-01  4.80541138E-04  9.44266656E-01  2.31240988E-03  1.03250513E+02  1.17807272E-01  1.88853331E+00  4.62481977E-03  9.81216946E+01  9.19421804E-03  3.82205972E+02  1.98361469E+00  0.00000000E+00  0.00000000E+00  9.76706782E+03  1.14791056E+01  1.87255310E+00  1.36889173E-02  4.51467828E-02  1.37476888E-03
  1.25000000E+00  5.23130994E+01  3.43954724E-01  1.15897308E+00  4.99095696E-03  1.16396859E+00  1.08541725E-03  1.16396845E+00  1.08536801E-03  2.32294153E+00  5.37124054E-03  2.10294153E+00  5.37124054E-03  5.79486467E-01  2.49547433E-03  5.79486539E-01  2.49547848E-03  5.81984297E-01  5.42708627E-04  5.81984225E-01  5.42684001E-04  1.16147076E+00  2.68562026E-03  8.33107522E+01  9.08965875E-02  1.85835322E+00  4.29699243E-03  7.81488248E+01  7.98565729E-03  2.98812355E+02  1.50067645E+00  0.00000000E+00  0.00000000E+00  6.23344716E+03  7.12325995E+00  2.33192864E+00  1.49022711E-02  5.85975189E-02  1.44955649E-03
  1.50000000E+00  4.16429393E+01  1.89422988E+00  1.38901304E+00  3.12375755E-02  1.35404751E+00  2.48671098E-02  1.35404928E+00  2.48669612E-02  2.74306233E+00  4.34424348E-02  2.52306233E+00  4.34424348E-02  6.94507409E-01  1.56183952E-02  6.94506522E-01  1.56187878E-02  6.77023754E-01  1.24335549E-02  6.77024641E-01  1.24334806E-02  1.37153116E+00  2.17212174E-02  6.97113612E+01  2.20659814E-01  1.82870822E+00  2.89616232E-02  6.45506418E+01  4.16507227E-02  2.45921983E+02  5.62473625E+00  0.00000000E+00  0.00000000E+00  4.27293877E+03  1.39058334E+01  2.73374324E+00  6.07435722E-02  7.02668408E-02  5.00805546E-03
  1.50000000E+00  4.28245114E+01  2.29935901E-01  1.38532581E+00  4.99969490E-03  1.38661426E+00  1.05896323E-03  1.38661562E+00  1.05898138E-03  2.77194143E+00  5.14435611E-03  2.55194143E+00  5.14435611E-03  6.92663586E-01  2.49984747E-03  6.92662904E-01  2.49984745E-03  6.93307128E-01  5.29481617E-04  6.93307810E-01  5.29490692E-04  1.38597071E+00  2.57217805E-03  6.97622419E+01  7.15992443E-02  1.84796095E+00  3.42957074E-03  6.45555583E+01  6.66635009E-03  2.49634747E+02  1.07681528E+00  0.00000000E+00  0.00000000E+00  4.27289659E+03  4.72376617E+00  2.77717387E+00  1.56465967E-02  6.97249511E-02  1.57044605E-03
  2.00000000E+00  3.28471077E+01  7.65882503E-01  1.86329063E+00  2.29475389E-02  1.83805267E+00  2.13903343E-02  1.83805171E+00  2.13899312E-02  3.70134234E+00  3.07693178E-02  3.48134234E+00  3.07693178E-02  9.31644833E-01  1.14736193E-02  9.31645314E-01  1.14737695E-02  9.19026336E-01  1.06951672E-02  9.19025855E-01  1.06949656E-02  1.85067117E+00  1.53846589E-02  5.32793591E+01  1.27848984E-01  1.85067117E+00  1.53846589E-02  4.81386909E+01  2.29478662E-02  1.89420605E+02  2.44585261E+00  0.00000000E+00  0.00000000E+00  2.39331314E+03  6.39742371E+00  3.69296779E+00  4.84413289E-02  9.35888999E-02  4.59275325E-03
  2.50000000E+00  2.71246668E+01  5.60465856E-01  2.35097856E+00  2.20957070E-02  2.30317196E+00  2.34473519E-02  2.30317016E+00  2.34472968E-02  4.65414872E+00  3.49975726E-02  4.43414872E+00  3.49975726E-02  1.17548838E+00  1.10478243E-02  1.17548928E+00  1.10478535E-02  1.15158598E+00  1.17236760E-02  1.15158508E+00  1.17236484E-02  2.32707436E+00  1.74987863E-02  4.34876171E+01  9.99815265E-02  1.86165949E+00  1.39990290E-02  3.81207984E+01  1.76767986E-02  1.54138841E+02  1.87638120E+00  0.00000000E+00  0.00000000E+00  1.52186475E+03  3.63883442E+00  4.58935057E+00  5.45191983E-02  1.13459381E-01  4.43955092E-03
