# PIMCID: 907e9783-1565-44fc-b771-bee6308f90f3
#           K_op            K_cv            V_op            V_cv               E            E_mu          K_op/N          K_cv/N          V_op/N          V_cv/N             E/N     EEcv*Beta^2        Ecv*Beta            dEdB          CvCov1          CvCov2          CvCov3            E_th               P
  2.65997435E+01  2.61174855E+01  1.86362800E+01  1.86353099E+01  4.47527954E+01  1.46897680E+02  1.30582577E+01  1.30587428E+01  9.31814002E+00  9.31765497E+00  2.23763977E+01  6.46474615E+00  1.79011182E+00  1.91071298E+00  1.78916004E+01  0.00000000E+00  3.17010813E+00  4.35608379E+01  1.56078606E+00
  2.65703753E+01  2.58934110E+01  1.82110661E+01  1.82115656E+01  4.41049766E+01  1.46249861E+02  1.29469553E+01  1.29467055E+01  9.10553304E+00  9.10578282E+00  2.20524883E+01  6.56117632E+00  1.76419906E+00  1.92864113E+00  1.87133676E+01  0.00000000E+00  1.47143456E+00  4.71101177E+01  1.97927571E+00
  2.61107686E+01  2.54281612E+01  1.78692085E+01  1.78696335E+01  4.32977947E+01  1.45442679E+02  1.27142931E+01  1.27140806E+01  8.93460425E+00  8.93481674E+00  2.16488973E+01  6.25510512E+00  1.73191179E+00  1.96587055E+00  1.78212023E+01  0.00000000E+00  1.61848278E+00  4.21049527E+01  1.53004906E+00
  2.66686117E+01  2.58424065E+01  1.97202376E+01  1.97186882E+01  4.55610947E+01  1.47705979E+02  1.29204286E+01  1.29212033E+01  9.86011881E+00  9.85934411E+00  2.27805474E+01  6.84702903E+00  1.82244379E+00  1.93270638E+00  1.98558259E+01  0.00000000E+00  1.98931296E+00  4.95482826E+01  1.99702371E+00
  2.50660357E+01  2.45242867E+01  1.87650392E+01  1.87652328E+01  4.32895194E+01  1.45434404E+02  1.22622401E+01  1.22621433E+01  9.38251960E+00  9.38261638E+00  2.16447597E+01  6.51411365E+00  1.73158078E+00  2.03818562E+00  1.69961929E+01  0.00000000E+00  5.68438101E+00  4.16574665E+01  1.35096048E+00
  2.34762720E+01  2.26431666E+01  2.07476474E+01  2.07489642E+01  4.33921308E+01  1.45537015E+02  1.13222417E+01  1.13215833E+01  1.03738237E+01  1.03744821E+01  2.16960654E+01  6.38880125E+00  1.73568523E+00  2.18861402E+00  1.76504422E+01  0.00000000E+00  3.80038415E+00  3.96774908E+01  8.55403056E-01
  2.54437713E+01  2.51167563E+01  1.86796434E+01  1.86818413E+01  4.37985977E+01  1.45943482E+02  1.25594771E+01  1.25583782E+01  9.33982169E+00  9.34092067E+00  2.18992988E+01  6.65279309E+00  1.75194391E+00  1.99075737E+00  1.81110893E+01  0.00000000E+00  3.31026554E+00  4.39420951E+01  1.59193206E+00
  2.71050756E+01  2.62819649E+01  1.88746964E+01  1.88766564E+01  4.51586213E+01  1.47303506E+02  1.31419624E+01  1.31409824E+01  9.43734822E+00  9.43832821E+00  2.25793107E+01  6.57558621E+00  1.80634485E+00  1.89756931E+00  1.84800537E+01  0.00000000E+00  3.28099470E+00  5.14516152E+01  2.31366180E+00
  2.72755909E+01  2.62644526E+01  1.94019780E+01  1.94028761E+01  4.56673287E+01  1.47812213E+02  1.31326754E+01  1.31322263E+01  9.70098898E+00  9.70143804E+00  2.28336643E+01  6.32168001E+00  1.82669315E+00  1.89895654E+00  1.82866073E+01  0.00000000E+00  2.34283666E+00  4.72994954E+01  1.81951683E+00
  2.69317686E+01  2.61601656E+01  1.82856959E+01  1.82869067E+01  4.44470723E+01  1.46591957E+02  1.30806882E+01  1.30800828E+01  9.14284797E+00  9.14345333E+00  2.22235361E+01  6.59540524E+00  1.77788289E+00  1.90731098E+00  1.84762275E+01  0.00000000E+00  2.48526646E+00  4.90442745E+01  2.16139023E+00
  2.48072030E+01  2.43775041E+01  1.70967012E+01  1.70979678E+01  4.14754719E+01  1.43620357E+02  1.21893854E+01  1.21887521E+01  8.54835060E+00  8.54898389E+00  2.07377360E+01  6.13592785E+00  1.65901888E+00  2.04991587E+00  1.68153431E+01  0.00000000E+00  3.02603912E+00  3.76989605E+01  1.20519974E+00
  2.43584834E+01  2.35696777E+01  1.81333588E+01  1.81347325E+01  4.17044101E+01  1.43849295E+02  1.17855257E+01  1.17848388E+01  9.06667939E+00  9.06736623E+00  2.08522051E+01  5.84493946E+00  1.66817641E+00  2.11457045E+00  1.60235650E+01  0.00000000E+00  3.02654811E+00  3.68684940E+01  9.66638316E-01
  2.65958080E+01  2.57320163E+01  1.98340632E+01  1.98353423E+01  4.55673586E+01  1.47712243E+02  1.28666477E+01  1.28660082E+01  9.91703161E+00  9.91767114E+00  2.27836793E+01  6.71899187E+00  1.82269434E+00  1.94158019E+00  1.89535286E+01  0.00000000E+00  2.14050086E+00  4.92098063E+01  1.94567796E+00
  2.37486770E+01  2.31688862E+01  1.94007663E+01  1.93998441E+01  4.25687303E+01  1.44713615E+02  1.15839820E+01  1.15844431E+01  9.70038313E+00  9.69992204E+00  2.12843651E+01  6.22580457E+00  1.70274921E+00  2.14658055E+00  1.61826521E+01  0.00000000E+00  5.08531772E+00  3.89094434E+01  9.80966436E-01
  2.53383801E+01  2.48008624E+01  1.96719049E+01  1.96692387E+01  4.44701011E+01  1.46614986E+02  1.23990981E+01  1.24004312E+01  9.83595243E+00  9.83461936E+00  2.22350506E+01  6.79692724E+00  1.77880405E+00  2.01600924E+00  1.62182345E+01  0.00000000E+00  9.22031079E+00  4.25101228E+01  1.30062516E+00
  2.48785050E+01  2.41055098E+01  1.97411672E+01  1.97416288E+01  4.38471386E+01  1.45992023E+02  1.20529857E+01  1.20527549E+01  9.87058360E+00  9.87081440E+00  2.19235693E+01  6.12691424E+00  1.75388554E+00  2.07167685E+00  1.74190641E+01  0.00000000E+00  1.70467077E+00  4.10986849E+01  1.14862286E+00
